Code,"Mnemonic code","Finance Client Name","Distributor My Side","Distributor Your Side","Finance Warehouse","Finance Warehouse Code","Accounting organization(My Side)","Accounting organization(Your Side)",Creator,Remarks,Network,Off/On,"Cross - accounting organizations are allowed"
C11150266611000008,352026662,"352026662 - ATP - ATA Dealer (Attappue)","OPPO LAOS Mobile","ATP - ATA Dealer (Attappue)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","ATA Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000009,352026675,"352026675 - VT3 - Win Dealer (Vientiane)","OPPO LAOS Mobile","VT3 - Win Dealer (Vientiane)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","Win Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000010,352031995,"352031995 - SEK - ST Dealer (Sekong)","OPPO LAOS Mobile","SEK - ST Dealer (Sekong)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","ST Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000011,352026678,"352026678 - XYB - Siam Dealer (Xaiyabouli)","OPPO LAOS Mobile","XYB - Siam Dealer (Xaiyabouli)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","Siam Dealer ORG",Admin,,-,ON,Yes
C11150266611000012,352026676,"352026676 - XKH - Ahua Dealer (XiengKhuang)","OPPO LAOS Mobile","XKH - Ahua Dealer (XiengKhuang)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","Ahua Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000013,352026674,"352026674 - VT2 - inew Dealer (Vientiane)","OPPO LAOS Mobile","VT2 - inew Dealer (Vientiane)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","inew VT Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000014,352026672,"352026672 - SEK - ATeng Dealer ( Thartaeng )","OPPO LAOS Mobile","SEK - ATeng Dealer ( Thartaeng )","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","ATeng Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000015,352026671,"352026671 - CPS - JK Dealer (Pakse)","OPPO LAOS Mobile","CPS - JK Dealer (Pakse)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","JK Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000016,352026670,"352026670 - PSL - JW Dealer (Phongsaly)","OPPO LAOS Mobile","PSL - JW Dealer (Phongsaly)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","JW Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000017,352026666,"352026666 - KAM - Awen Dealer (Thakhaek)","OPPO LAOS Mobile","KAM - Awen Dealer (Thakhaek)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","Awen Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000018,352026665,"352026665 - SVK - INEW Dealer (Savannakhet)","OPPO LAOS Mobile","SVK - INEW Dealer (Savannakhet)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","INEW SVK Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000019,352026664,"352026664 - HPN - A Lei Dealer (Huaphan)","OPPO LAOS Mobile","HPN - A Lei Dealer (Huaphan)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","A Lei Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000020,352026663,"352026663 - BKE - LH Dealer (Bokeo)","OPPO LAOS Mobile","BKE - LH Dealer (Bokeo)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","LH Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000021,352026677,"352026677 - XSB - Aqing Dealer (Xaisomboun)","OPPO LAOS Mobile","XSB - Aqing Dealer (Xaisomboun)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","Aqing Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000022,352026673,"352026673 - SLV - ABO Dealer (Salavan)","OPPO LAOS Mobile","SLV - ABO Dealer (Salavan)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","ABO Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000023,352026669,"352026669 - ODX - Abao Dealer (Oudomxai)","OPPO LAOS Mobile","ODX - Abao Dealer (Oudomxai)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","Abao Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000024,352026668,"352026668 - LPB - QZ Dealer (Loungprabang)","OPPO LAOS Mobile","LPB - QZ Dealer (Loungprabang)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","QZ Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000025,352026667,"352026667 - LNT - Ayao Dealer (Loungnamtha)","OPPO LAOS Mobile","LNT - Ayao Dealer (Loungnamtha)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","Ayao Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000026,352026662,"352026662 - ATP - ATA Dealer (Attappue)","OPPO LAOS Mobile","ATP - ATA Dealer (Attappue)","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance","ATA Dealer ORG",Admin,,"All Network",ON,Yes
C11150266611000027,352031443,"352031443 - Office OPPO Staff - Pay Fully","OPPO LAOS Mobile","Office OPPO Staff - Pay Fully","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance",,Admin,,"All Network",ON,Yes
C11150266611000028,352027482,"352027482 - Office OPPO Staff - Pay Monthly","OPPO LAOS Mobile","Office OPPO Staff - Pay Monthly","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance",,Admin,,"All Network",ON,Yes
C11150266611000030,352031994,"352031994 - SEK - ST Mobile2 Agent Shop","SEK - ST Dealer (Sekong)","SEK - ST Mobile2 Agent Shop","ST Dealer",S11150266611000006,"ST Dealer ORG",,Admin,,"All Network",ON,Yes
C11150266611000031,352027483,"352027483 - Office OPPO Training","OPPO LAOS Mobile","Office OPPO Training","WH - OPPO LAOS",S11150266611000004,"OPPO LAOS Mobile Finance",,Admin,,"All Network",ON,Yes
C11150266611000032,352027349,"352027349 - SLV - Aji mobile","SEK - ST Dealer (Sekong)","SLV - Aji mobile","ST Dealer",S11150266611000006,"ST Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000033,352032523,"352032523 - PSL - JingCai mobile","PSL - JW Dealer (Phongsaly)","PSL - JingCai mobile","JW Dealer",S11150266611000009,"JW Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000034,352032253,"352032253 - KAM - Afei ດົງໄຕ້","KAM - Awen Dealer (Thakhaek)","KAM - Afei ດົງໄຕ້","Awen Dealer",S11150266611000024,"Awen Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000035,352031884,"352031884 - CPS - Axi mobile","CPS - JK Dealer (Pakse)","CPS - Axi mobile","JK Dealer",S11150266611000008,"JK Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000036,352032522,"352032522 - BKE - QQ mobile","BKE - LH Dealer (Bokeo)","BKE - QQ mobile","LH Dealer",S11150266611000015,"LH Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000037,352032520,"352032520 - VT3 - Pa mobile","VT3 - Win Dealer (Vientiane)","VT3 - Pa mobile","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000038,352032511,"352032511 - VT1 - BigC mobile","WH - Stock OPPO (Mark)","VT1 - BigC mobile","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000039,352027505,"352027505 - LPB - KTC Mobile2","LPB - QZ Dealer (Loungprabang)","LPB - KTC Mobile2","QZ Dealer",S11150266611000011,"QZ Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000040,352027337,"352027337 - VT1 - Yang","WH - Stock OPPO (Mark)","VT1 - Yang","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000041,352032506,"352032506 - BKE - TP mobile","BKE - LH Dealer (Bokeo)","BKE - TP mobile","LH Dealer",S11150266611000015,"LH Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000042,352027121,"352027121 - VT3 - 123 mobile","VT3 - Win Dealer (Vientiane)","VT3 - 123 mobile","Win Dealer",S11150266611000022,"Win Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000043,352027307,"352027307 - VT1 - T&J Dongpalan","WH - Stock OPPO (Mark)","VT1 - T&J Dongpalan","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000044,352032471,"352032471 - VT1 - L&A mobile","WH - Stock OPPO (Mark)","VT1 - L&A mobile","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000045,352032460,"352032460 - BKE - Bounmee Mobile","BKE - LH Dealer (Bokeo)","BKE - Bounmee Mobile","LH Dealer",S11150266611000015,"LH Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000046,352027250,"352027250 - VT1 - MKE5","WH - Stock OPPO (Mark)","VT1 - MKE5","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000047,352032435,"352032435 - CPS - LT mobile Luk8","CPS - JK Dealer (Pakse)","CPS - LT mobile Luk8","JK Dealer",S11150266611000008,"JK Dealer ORG",,Admin,"DB Insert","All Network",ON,Yes
C11150266611000048,352032442,"352032442 - VT1 - ZJ Mobile","WH - Stock OPPO (Mark)","VT1 - ZJ Mobile","WH - Stock OPPO (Mark)",S11150266611000005,"Stock OPPO Mark Finance",,Admin,"DB Insert","All Network",ON,Yes
