Code,"Mnemonic code","Accounting Organization Name","Identification No.","Corporation Type.",Creation,"Creation Time.",Remarks.,On/Off
G11150266611000009,020,"OPPO LAOS Mobile Finance","OPPO LAOS Mobile Finance",Corporation,Admin,"2024-05-18 10:05:16","  ",On
G11150266611000010,85621,"ATA Dealer ORG","ATA Dealer ORG",Corporation,Admin,"2024-05-18 10:05:49","  ",On
G11150266611000011,85621,"LH Dealer ORG","LH Dealer ORG",Corporation,Admin,"2024-05-18 10:05:21","  ",On
G11150266611000012,85623,"A Lei Dealer ORG","A Lei Dealer ORG",Corporation,Admin,"2024-05-18 10:05:46",,On
G11150266611000013,85624,"INEW SVK Dealer ORG","INEW SVK Dealer ORG",Corporation,Admin,"2024-05-18 10:05:17",,On
G11150266611000014,85625,"Awen Dealer ORG","Awen Dealer ORG",Corporation,Admin,"2024-05-18 10:05:46",,On
G11150266611000015,85626,"Ayao Dealer ORG","Ayao Dealer ORG",Corporation,Admin,"2024-05-18 10:05:33",,On
G11150266611000016,85627,"QZ Dealer ORG","QZ Dealer ORG",Corporation,Admin,"2024-05-18 10:05:21",,On
G11150266611000017,85628,"Abao Dealer ORG","Abao Dealer ORG",Corporation,Admin,"2024-05-18 10:05:44",,On
G11150266611000018,85659,"JW Dealer ORG","JW Dealer ORG",Corporation,Admin,"2024-05-18 10:05:08",,On
G11150266611000019,85630,"JK Dealer ORG","JK Dealer ORG",Corporation,Admin,"2024-05-18 10:05:29",,On
G11150266611000020,85631,"ATeng Dealer ORG","ATeng Dealer ORG",Corporation,Admin,"2024-05-18 10:05:37",,On
G11150266611000021,85632,"ABO Dealer ORG","ABO Dealer ORG",Corporation,Admin,"2024-05-18 10:05:08",,On
G11150266611000022,85633,"inew VT Dealer ORG","inew VT Dealer ORG",Corporation,Admin,"2024-05-18 10:05:34",,On
G11150266611000023,85634,"Win Dealer ORG","Win Dealer ORG",Corporation,Admin,"2024-05-18 10:05:56",,On
G11150266611000024,85635,"Ahua Dealer ORG","Ahua Dealer ORG",Corporation,Admin,"2024-05-18 10:05:19",,On
G11150266611000025,85636,"Aqing Dealer ORG","Aqing Dealer ORG",Corporation,Admin,"2024-05-18 10:05:46",,On
G11150266611000026,85637,"Siam Dealer ORG","Siam Dealer ORG",Corporation,Admin,"2024-05-18 10:05:18",,On
G11150266611000027,82996,"Stock After Sale ORG","Stock After Sale ORG",Corporation,Admin,"2024-05-18 10:05:48",,On
G11150266611000028,85620943,"ST Dealer ORG","ST Dealer ORG",Corporation,Admin,"2024-05-18 10:05:12",,On
G11150266611000029,856255,"Stock OPPO Mark Finance","Stock OPPO Mark Finance",Corporation,Admin,"2024-05-18 11:05:14",,On
G11150266611000031,856266,"Stock After Sale ORG","Stock After Sale ORG",Corporation,Admin,"2024-07-24 14:07:29","  ",On
