Code,"Mnemonic code","Finance Warehouse Name","Account Org","Finance Warehouse Group","App Consigment","Warehouse Name",On/Off,Creator,"Creation Time",remark
S11150266611000004,1001,"WH - OPPO LAOS",,,No,,On,Admin,"2024-05-23 11:37:42",
S11150266611000005,1002,"WH - Stock OPPO (Mark)",,,No,,On,Admin,"2024-05-23 12:04:11",
S11150266611000006,3001,"ST Dealer",,,No,,On,Admin,"2024-05-24 15:43:15",
S11150266611000007,3002,"ATeng Dealer",,,No,,On,Admin,"2024-07-24 13:59:15",
S11150266611000008,3003,"JK Dealer",,,No,,On,Admin,"2024-07-24 14:00:21",
S11150266611000009,3004,"JW Dealer",,,No,,On,Admin,"2024-07-24 14:00:55",
S11150266611000010,3005,"Abao Dealer",,,No,,Off,Admin,"2024-07-24 14:01:22",
S11150266611000011,3006,"QZ Dealer",,,No,,On,Admin,"2024-07-24 14:01:51",
S11150266611000012,3007,"Ayao Dealer",,,No,,On,Admin,"2024-07-24 14:02:16",
S11150266611000013,3008,"Inew SVK Dealer",,,No,,On,Admin,"2024-07-24 14:02:51",
S11150266611000014,3009,"A Lei Dealer",,,Yes,,On,Admin,"2024-07-24 14:03:33",
S11150266611000015,2001,"LH Dealer",,,No,,On,Admin,"2024-07-24 14:04:07",
S11150266611000016,2002,"ATA Dealer",,,No,,On,Admin,"2024-07-24 14:04:28",
S11150266611000017,2003,"ABO Dealer",,,No,,On,Admin,"2024-07-24 14:04:51",
S11150266611000018,2004,"Ahua Dealer",,,No,,On,Admin,"2024-07-24 14:05:16",
S11150266611000019,2005,"Aqing Dealer",,,No,,On,Admin,"2024-07-24 14:05:37",
S11150266611000020,2006,"Siam Dealer",,,No,,On,Admin,"2024-07-24 14:06:04",
S11150266611000021,1003,"Stock After Sale",,,No,,On,Admin,"2024-07-24 14:06:43",
S11150266611000022,2007,"Win Dealer",,,No,,On,Admin,"2024-07-24 14:08:57",
S11150266611000023,2008,"Inew Dealer",,,No,,On,Admin,"2024-07-24 14:09:23",
S11150266611000024,2009,"Awen Dealer",,,No,,On,Admin,"2024-07-24 14:09:58",
S11150266611000025,1004,"Stock OPPO",,,No,,On,Admin,"2024-07-24 14:10:38",
S11150266611000027,1006,"Stock After Sale",,,No,,On,Admin,"2024-07-24 14:14:14",
