"Finance Warehouse Group Name","Distibutor ID","Distributor Name","Warehouse Name",On/Off,Creator,"Creation Time",Remark
"OPPO LAOS WH Group",5970,"OPPO LAOS Mobile","OPPO LAOS Mobile",On,Admin,"2024-05-22 14:05:12",
"ATA Dealer WH Group",5385,"ATP - ATA Dealer (Attappue)","Kerry-ATA (Attapue)",On,Admin,"2024-05-22 15:05:06",
"LH Dealer WH Group",5384,"BKE - LH Dealer (Bokeo)","Kerry-LH (Bokeo)",On,Admin,"2024-05-22 15:05:29",
"A Lei Dealer WH Group",5383,"HPN - A Lei Dealer (Huaphan)","Kerry - A Lei (Huaphan)",On,Admin,"2024-05-22 15:05:41",
"INEW SVK Dealer WH Group",5382,"SVK - INEW Dealer (Savannakhet)","Kerry-INEW SVK (Savanakhet)",On,Admin,"2024-05-22 15:05:00",
"Awen Dealer WH Group",5966,"KAM - Awen Dealer (Thakhaek)","Kerry-Awen (Thakhaek)",On,Admin,"2024-05-22 15:05:36",
"Ayao Dealer WH Group",5381,"LNT - Ayao Dealer (Loungnamtha)","Kerry-A Yao (Loungnamtha)",On,Admin,"2024-05-22 15:05:52",
"QZ Dealer WH Group",5380,"LPB - QZ Dealer (Loungprabang)","Kerry-QZ (Loungprabang)",On,Admin,"2024-05-22 15:05:09",
"Abao Dealer WH Group",5379,"ODX - Abao Dealer (Oudomxai)","Kerry-A BAO (Oudomxai)",On,Admin,"2024-05-22 15:05:27",
"JW Dealer WH Group",5378,"PSL - JW Dealer (Phongsaly)","Kerry-JW (Phonsaly)",On,Admin,"2024-05-22 15:05:42",
"JK Dealer WH Group",5377,"CPS - JK Dealer (Pakse)","Kerry-JK (Pakse)",On,Admin,"2024-05-22 15:05:55",
"ATeng Dealer WH Group",5376,"SEK - ATeng Dealer ( Thartaeng )","Kerry-ATeng (Sekong)",On,Admin,"2024-05-22 15:05:13",
"ABO Dealer WH Group",5386,"SLV - ABO Dealer (Salavan)","Kerry-ABO (Salavan)",On,Admin,"2024-05-22 15:05:29",
"inew VT Dealer WH Group",5965,"VT2 - inew Dealer (Vientiane)","Kerry-INEW (Vientiane)",On,Admin,"2024-05-22 15:05:43",
"Win Dealer WH Group",5964,"VT3 - Win Dealer (Vientiane)","Kerry-Win (Vientiane)",On,Admin,"2024-05-22 15:05:59",
"Ahua Dealer WH Group",5387,"XKH - Ahua Dealer (XiengKhuang)","Kerry-A Hua (Xiengkhuang)",On,Admin,"2024-05-22 15:05:14",
"Aqing Dealer WH Group",5388,"XSB - Aqing Dealer (Xaisomboun)","Kerry-Aqing (Xaisomboun)",On,Admin,"2024-05-22 15:05:29",
"Siam Dealer WH Group",5389,"XYB - Siam Dealer (Xaiyabouli)","Kerry-Siam (Xaiyabouli)",On,Admin,"2024-05-22 15:05:48",
"Stock After Sale WH Group",5892,"Stock Broken After Sale Dealer","WH - Stock Broken (Afeng)",On,Admin,"2024-05-22 15:05:07",
"ST Dealer WH Group",5231,"SEK - ST Dealer (Sekong)","Kerry-ST (Sekong)",On,Admin,"2024-05-22 15:05:22",
"WH - Stock OPPO (Mark)",5969,"WH - Stock OPPO (Mark)","WH - Stock OPPO (Mark)",On,Admin,"2024-05-23 12:05:43",
"Stock After Sale",5971,"WH - Stock After Sale (Afeng)","WH - Stock After Sale (Afeng)",On,Admin,"2024-07-24 14:07:55",
