No.,"INVOICE NUMBER","DO NUMBER",IMEI,"STORE TRANFER ( IN )","STORE TRANFER ( OUT )","DISTRIBUTOR / WAREHOUSE ( IN )","DISTRIBUTOR / WAREHOUSE ( OUT )",WAREHOUSE,REMARK,"CREATED BY",TIME
1,IN670504-00112,DO670511-00001,865055069622999,"LNT - Noy mobile1 ຊຽງແລ້","LNT - SP mobile","5783 - LNT - Noy mobile Xienglea","5082 - LNT - SP mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-11 09:28:25"
2,IN670503-00091,DO670511-00002,863671064411733,"LNT - SP mobile","LNT - Aming mobile","5082 - LNT - SP mobile","5263 - LNT - Aming mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-11 09:29:16"
3,,DO670511-00003,866155066419875,"BLX - Awen mobile3","BLX - Nok mobile","5076 - KAM - Awen mobile1 Agent Shop","5851 - BLX - Nok mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:59"
4,,DO670511-00004,866155066419057,"BLX - Awen mobile3","BLX - Nok mobile","5076 - KAM - Awen mobile1 Agent Shop","5851 - BLX - Nok mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:59"
5,,DO670511-00005,866155066388237,"BLX - Awen mobile3","BLX - Somsak mobile","5076 - KAM - Awen mobile1 Agent Shop","5846 - BLX - Somsak mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:22"
6,,DO670511-00006,865947067757076,"BLX - Awen mobile3","BLX - Somsak mobile","5076 - KAM - Awen mobile1 Agent Shop","5846 - BLX - Somsak mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:22"
7,,DO670511-00007,866155066285938,"BLX - Awen mobile3","BLX - Somsak mobile","5076 - KAM - Awen mobile1 Agent Shop","5846 - BLX - Somsak mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:22"
8,,DO670511-00008,866155066285854,"BLX - Awen mobile3","BLX - Somsak mobile","5076 - KAM - Awen mobile1 Agent Shop","5846 - BLX - Somsak mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:22"
9,IN670504-00133,DO670511-00009,863671064293875,"CPS - AG mobile1 ປາກເຊ","CPS - Jk mobile2","5724 - CPS - AG mobile1 Pakse","5067 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)",,Admin,"2024-05-11 13:05:14"
10,IN670504-00133,DO670511-00010,863671064293693,"CPS - AG mobile1 ປາກເຊ","CPS - Jk mobile2","5724 - CPS - AG mobile1 Pakse","5067 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)",,Admin,"2024-05-11 13:05:14"
11,,DO670511-00011,866654062429375,"BLX - Puom IT1 ຄຳເກີດ","BLX - Awen Mobile8","5850 - BLX - Poum IT","5076 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:55"
12,,DO670511-00012,866654062439150,"BLX - Puom IT1 ຄຳເກີດ","BLX - Awen Mobile8","5850 - BLX - Poum IT","5076 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:31"
