No.,"INVOICE NUMBER","DO NUMBER",IMEI,"STORE TRANFER ( IN )","STORE TRANFER ( OUT )","DISTRIBUTOR / WAREHOUSE ( IN )","DISTRIBUTOR / WAREHOUSE ( OUT )",WAREHOUSE,REMARK,"CREATED BY",TIME
1,,DO670601-00001,862774061523632,"VT1 - Folder shop","VT1 - Ting1","352027204 - VT1 - Folder shop","352027314 - VT1 - Ting1","WH - Stock OPPO (Mark)",,M20180315,"2024-06-01 09:06:22"
2,,DO670601-00002,862774061949530,"VT1 - A Zong Saisavang","VT1 - ComCom Mobile","352027161 - VT1 - A Zong Saisavang","352027194 - VT1 - ComCom Mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-06-01 09:06:03"
3,,DO670603-00001,866654063730813,"CPS - Aling mobile3 ປາກຊ່ອງ","CPS - Jk mobile3 Agent Store","352026937 - CPS - Aling mobile3 ParkSong","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","N2606 Approval No.：202406011257000277236",Admin,"2024-06-03 09:06:52"
4,,DO670603-00002,862774061756232,"VT1 - GF mobile","VT1 - Ting1","352027207 - VT1 - GF mobile","352027314 - VT1 - Ting1","WH - Stock OPPO (Mark)",,M20180315,"2024-06-03 09:06:21"
5,IN670513-00225,DO670603-00003,862980062129192,"LNT - Aming mobile","LNT - Ayao mobile1 Agent Store","352031920 - LNT - Aming mobile","352026840 - LNT - Ayao mobile1 Agent Shop","Kerry-A Yao (Loungnamtha)","N2558 Approval No.：202406021023000141266",Admin,"2024-06-03 09:06:03"
6,IN670602-00054,DO670603-00004,867993076516234,LNT - Hongda electronic,"LNT - Ayao mobile1 Agent Store","352031959 - LNT - Hongda electronic","352026840 - LNT - Ayao mobile1 Agent Shop","Kerry-A Yao (Loungnamtha)","N2558 Approval No.：202406030912000305576",Admin,"2024-06-03 09:06:10"
7,IN670602-00054,DO670603-00005,867993076505575,LNT - Hongda electronic,"LNT - Ayao mobile1 Agent Store","352031959 - LNT - Hongda electronic","352026840 - LNT - Ayao mobile1 Agent Shop","Kerry-A Yao (Loungnamtha)","N2558 Approval No.：202406030912000305576",Admin,"2024-06-03 09:06:10"
8,,DO670603-00006,868051060277310,"ODX - Aping mobile ອຸດົມໄຊ","ODX - Abao mobile1 Agent Store","352026902 - ODX - Aping mobile1","352026897 - ODX - Abao mobile1 Agent Shop","Kerry-A BAO (Oudomxai)","N145 Approval No.：202406031008000009276",Admin,"2024-06-03 09:06:24"
9,,DO670603-00007,862774060989214,"VT1 - BTL ສະພານທອງ","VT1 - W and W Advice","352027190 - VT1 - BTL Saphanthong","352027333 - VT1 - W&W Advice","WH - Stock OPPO (Mark)",,M20180315,"2024-06-03 11:06:53"
10,IN670513-00114,DO670603-00008,867003068116413,"BLX - aliu mobile ຄຳເກີດ","BLX - Awen Mobile8","352026734 - BLX - aliu mobile Noungpong","352026799 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",s,Admin,"2024-06-03 11:06:11"
11,IN670513-00114,DO670603-00009,863671064345311,"BLX - aliu mobile ຄຳເກີດ","BLX - Awen Mobile8","352026734 - BLX - aliu mobile Noungpong","352026799 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",s,Admin,"2024-06-03 11:06:11"
12,IN670527-00024,DO670603-00010,867993076605375,"VT1 - L&A mobile","VT1 - A Yang Mobile Xaisavang","352032471 - VT1 - L&A mobile","352027157 - VT1 - A Yang Xaysavarng","WH - Stock OPPO (Mark)",,M20180315,"2024-06-03 15:06:20"
13,IN670504-00094,DO670603-00011,863671064399417,"VT1 - ZiVa mobile","VT1 - Solo mobile ທານາແລ້ງ","352027341 - VT1 - ZiVa mobile","352027292 - VT1 - Solo mobile Thanarlaeng","WH - Stock OPPO (Mark)",,M20180315,"2024-06-03 16:06:24"
14,IN670504-00094,DO670603-00012,863671064926698,"VT1 - ZiVa mobile","VT1 - Solo mobile ທານາແລ້ງ","352027341 - VT1 - ZiVa mobile","352027292 - VT1 - Solo mobile Thanarlaeng","WH - Stock OPPO (Mark)",,M20180315,"2024-06-03 16:06:24"
15,IN670504-00094,DO670603-00013,863671064319258,"VT1 - ZiVa mobile","VT1 - Solo mobile ທານາແລ້ງ","352027341 - VT1 - ZiVa mobile","352027292 - VT1 - Solo mobile Thanarlaeng","WH - Stock OPPO (Mark)",,M20180315,"2024-06-03 16:06:24"
16,IN670504-00094,DO670603-00014,863671064369998,"VT1 - ZiVa mobile","VT1 - Solo mobile ທານາແລ້ງ","352027341 - VT1 - ZiVa mobile","352027292 - VT1 - Solo mobile Thanarlaeng","WH - Stock OPPO (Mark)",,M20180315,"2024-06-03 16:06:48"
17,,DO670604-00001,867003064456730,"BLX - Afuo mobileຄຳເກີດ","BLX - Afuo ຈອມທອງ","352026730 - BLX - Akhai mobile 1","352026728 - BLX - Afou ViengThong","Kerry-Awen (Thakhaek)","N651 Approval No.：202406031513000480140",Admin,"2024-06-04 10:06:03"
18,IN670527-00029,DO670604-00002,860306074481813,"KAM - Awen mobile1 Agent Store","KAM - Le mobile ທ່າແຂກ","352026799 - KAM - Awen mobile1 Agent Shop","352026814 - KAM - Le mobile","Kerry-Awen (Thakhaek)","N2332 Approval No.：202406031724000549821",Admin,"2024-06-04 10:06:46"
19,IN670513-00239,DO670604-00003,862980062127634,"KAM - Bunkeld mobile","KAM - Awen mobile2","352026800 - KAM - Bunkeld mobile","352026799 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)","N2332 Approval No.：202406031717000558891",Admin,"2024-06-04 10:06:35"
20,IN670527-00106,DO670604-00004,860306074481938,"KAM - Awen mobile4","BLX - Joi mobile ບໍລິຄັນ","352026799 - KAM - Awen mobile1 Agent Shop","352026747 - BLX - Joi mobile Borlikhun","Kerry-Awen (Thakhaek)","N2332 Approval No.：202406031712000384027",Admin,"2024-06-04 10:06:29"
21,,DO670604-00005,862774061553290,"XYB - Lai mobile2","XYB - Joi mobile ປາກລາຍ","352027091 - XYB - Lai mobile","352027085 - XYB - Joi mobile Paklaiy","Kerry-Siam (Xaiyabouli)","N486 Approval No.：202406031655000381926",Admin,"2024-06-04 10:06:21"
22,IN670603-00159,DO670604-00006,867993076602430,"BKE - LF Mobile2","BKE - LF Mobile1","352031627 - BKE - LF Mobile1","352031627 - BKE - LF Mobile1","Kerry-LH (Bokeo)","867993076600814
867993076604238
867993076601374
867993076604170
867993076602430",Admin,"2024-06-04 10:06:07"
23,IN670603-00159,DO670604-00007,867993076600814,"BKE - LF Mobile2","BKE - LF Mobile1","352031627 - BKE - LF Mobile1","352031627 - BKE - LF Mobile1","Kerry-LH (Bokeo)","867993076600814
867993076604238
867993076601374
867993076604170
867993076602430",Admin,"2024-06-04 10:06:07"
24,IN670603-00159,DO670604-00008,867993076604170,"BKE - LF Mobile2","BKE - LF Mobile1","352031627 - BKE - LF Mobile1","352031627 - BKE - LF Mobile1","Kerry-LH (Bokeo)","867993076600814
867993076604238
867993076601374
867993076604170
867993076602430",Admin,"2024-06-04 10:06:07"
25,IN670603-00159,DO670604-00009,867993076601374,"BKE - LF Mobile2","BKE - LF Mobile1","352031627 - BKE - LF Mobile1","352031627 - BKE - LF Mobile1","Kerry-LH (Bokeo)","867993076600814
867993076604238
867993076601374
867993076604170
867993076602430",Admin,"2024-06-04 10:06:07"
26,IN670603-00159,DO670604-00010,867993076604238,"BKE - LF Mobile2","BKE - LF Mobile1","352031627 - BKE - LF Mobile1","352031627 - BKE - LF Mobile1","Kerry-LH (Bokeo)","867993076600814
867993076604238
867993076601374
867993076604170
867993076602430",Admin,"2024-06-04 10:06:07"
27,IN670529-00086,DO670604-00011,863671069657439,"VT1 - nangnoy","VT1 - LT ໜອງຈັນ","352027255 - VT1 - nangnoy","352027241 - VT1 - LT Nongchan","WH - Stock OPPO (Mark)",,M20180315,"2024-06-04 15:06:37"
28,IN670502-00109,DO670604-00012,862774061761117,"VT2 - inter telecom","VT2 - Big telecom ທຸລະຄົມ","352027217 - VT2 - inter telecom","352027182 - VT2 - Big telecom Thulakhom","Kerry-INEW (Vientiane)",,M20180315,"2024-06-04 15:06:06"
29,IN670502-00109,DO670604-00013,862774061760176,"VT2 - T Shop mobile","VT2 - Big telecom ທຸລະຄົມ","352027306 - VT2 - T Shop mobile","352027182 - VT2 - Big telecom Thulakhom","Kerry-INEW (Vientiane)",,M20180315,"2024-06-04 15:06:44"
30,,DO670605-00001,867003065435915,"BLX - A kung mobile","KAM - Awen mobile1 Agent Store","352026754 - BLX - PSC","352026799 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)","N2050 Approval No.：202406041249000076236",Admin,"2024-06-05 09:06:29"
31,,DO670605-00002,862780063594778,"BLX - A kung mobile","BLX - Awen mobile3","352026754 - BLX - PSC","352026754 - BLX - PSC","Kerry-Awen (Thakhaek)","N2050 Approval No.：202406041246000582081",Admin,"2024-06-05 09:06:30"
32,,DO670605-00003,862780063674257,"CPS - J com1 ຈຳປາສັກ","CPS - Jk mobile8","352026951 - CPS - J com","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","N2034 Approval No.：202406041425000457328",Admin,"2024-06-05 09:06:27"
33,,DO670605-00004,862774060878631,"XKH - YH mobile2","XKH - Mai mobile2","352032239 - XKH - YH mobile","352027039 - XKH - Mai mobile Numeum","Kerry-A Hua (Xiengkhuang)","N2550 Approval No.：202406041105000269541",Admin,"2024-06-05 09:06:48"
34,,DO670605-00005,862774060543557,"XKH - YH mobile2","XKH - Mai mobile2","352032239 - XKH - YH mobile","352027039 - XKH - Mai mobile Numeum","Kerry-A Hua (Xiengkhuang)","N2550 Approval No.：202406041105000269541",Admin,"2024-06-05 09:06:48"
35,,DO670605-00006,862780063382331,SEK - NT mobile,"SEK - Ana Mobile","352032004 - SEK - NT mobile","352026997 - SEK - Ana Mobile","Kerry-ST (Sekong)","N1535 Approval No.：202406041520000447654",Admin,"2024-06-05 09:06:57"
36,IN670514-00012,DO670605-00007,867993074238419,"LNT - KP mobile1","LNT - Noy mobile1 ຊຽງແລ້","352026844 - LNT - KP mobile1","352026846 - LNT - Noy mobile Xienglea","Kerry-A Yao (Loungnamtha)","N390 Approval No.：202406041814000013265",Admin,"2024-06-05 09:06:01"
37,,DO670605-00008,864405068775390,"KAM - Awen mobile1 Agent Store","KAM - Happy mobile ຄຳມ່ວນ","352026799 - KAM - Awen mobile1 Agent Shop","352026803 - KAM - Happy mobile","Kerry-Awen (Thakhaek)","N2332 Approval No.：202406050940000157705",Admin,"2024-06-05 09:06:54"
38,IN670513-00114,DO670605-00009,867993074388156,"BLX - Yin mobile ຄຳເກີດ","BLX - Awen Mobile8","352026763 - BLX - Yin mobile","352026799 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)","N651 Approval No.：202406051044000597853",Admin,"2024-06-05 10:06:10"
39,IN670528-00024,DO670605-00010,862774061692551,"VT1 - Saiy mobile ຄຳສະຫວາດ","VT1 - icare","352027284 - VT1 - Saiy mobile","352027214 - VT1 - icare","WH - Stock OPPO (Mark)",,M20180315,"2024-06-05 10:06:34"
40,IN670512-00007,DO670605-00011,867528073514616,"LNT - SP mobile","LNT - KK Mobile","352032221 - LNT - SP mobile","352032401 - LNT - KK Mobile","Kerry-A Yao (Loungnamtha)","N390 Approval No.：202406051007000451947",Admin,"2024-06-05 10:06:49"
41,IN670516-00011,DO670605-00012,862774061525132,"VT1 - JJ Mobile","VT1 - Call me1 Phornsinuan","352027219 - VT1 - JJ-MB","352027191 - VT1 - Call me1 Phonesynuan","WH - Stock OPPO (Mark)",,M20180315,"2024-06-05 10:06:11"
42,IN670603-00157,DO670605-00013,867993076927175,"VT1 - Folder shop","VT1 - A Yang Mobile Xaisavang","352027204 - VT1 - Folder shop","352027157 - VT1 - A Yang Xaysavarng","WH - Stock OPPO (Mark)",,M20180315,"2024-06-05 13:06:20"
43,IN670511-00106,DO670606-00001,867993074390798,"VT3 - oppo shop ວັງວຽງ","VT3 - Win Samsung2 Agent Store","352027267 - VT3 - Oppo shop Vungvieng","352027334 - VT3 - Win Samsung 2 Agent Shop","Kerry-Win (Vientiane)",,M20180315,"2024-06-06 13:06:41"
44,,DO670606-00002,862774060992796,"VT1 - Viva","VT1 - CL Nongniaw","352027331 - VT1 - Viva","352027192 - VT1 - CL Saphanthong","WH - Stock OPPO (Mark)",,M20180315,"2024-06-06 13:06:04"
45,,DO670606-00003,862774061954217,"VT1 - JomJai mobile Nakham","VT1 - CL Nongniaw","352027016 - VT1 - JomJai","352027192 - VT1 - CL Saphanthong","WH - Stock OPPO (Mark)",,M20180315,"2024-06-06 13:06:48"
46,IN670603-00121,DO670606-00004,865073061970159,"VT1 - DDE Dongdok","VT1 - LCC1 Dongpalan","352027197 - VT1 - DDE Dongdok","352027235 - VT1 - LCC1 Dongpalan","WH - Stock OPPO (Mark)",,M20180315,"2024-06-06 13:06:55"
47,,DO670606-00005,862774061640212,"VT3 - Sy Mobile","VT3 - Kn telecom 1","352031804 - VT3 - ST Mobile Sangthong","352027226 - VT3 - Kn telecom","Kerry-Win (Vientiane)",,M20180315,"2024-06-06 15:06:31"
48,IN670512-00007,DO670606-00006,867528073514616,"LNT - SP mobile","LNT - SP mobile","352032221 - LNT - SP mobile","352032221 - LNT - SP mobile","Kerry-A Yao (Loungnamtha)",s,Admin,"2024-06-06 16:06:09"
49,IN670525-00044,DO670606-00007,863671065708376,"BLX - Afang mobile Khamkert","BLX - Azine mobile ບໍລຶຄຳໄຊ","352026726 - BLX - Afang Mobile Nongpong","352026743 - BLX - Azine mobile Borlikhamxai","Kerry-Awen (Thakhaek)",s,Admin,"2024-06-06 16:06:06"
50,,DO670606-00008,862774060256754,"LNT - Aping mobile ຫຼວງນ້ຳທາ","LNT - SP mobile","352026838 - LNT - Aping mobile","352032221 - LNT - SP mobile","Kerry-A Yao (Loungnamtha)",s,Admin,"2024-06-06 16:06:56"
51,IN670506-00093,DO670606-00009,862774061952575,"PSL - Jping Mobile2","PSL - JW mobile3","352026983 - PSL - Jping Phongsaly","352026915 - PSL - JW mobile Agent Shop","Kerry-JW (Phonsaly)",s,Admin,"2024-06-06 16:06:49"
52,,DO670606-00010,866654062016297,"XKH - YH mobile2","XKH - Mai mobile2","352032239 - XKH - YH mobile","352027039 - XKH - Mai mobile Numeum","Kerry-A Hua (Xiengkhuang)",s,Admin,"2024-06-06 16:06:00"
53,,DO670606-00011,866654062030215,"XKH - YH mobile2","XKH - Mai mobile2","352032239 - XKH - YH mobile","352027039 - XKH - Mai mobile Numeum","Kerry-A Hua (Xiengkhuang)",s,Admin,"2024-06-06 16:06:00"
54,,DO670606-00012,868714068120077,"XKH - YH mobile2","XKH - Mai mobile2","352032239 - XKH - YH mobile","352027039 - XKH - Mai mobile Numeum","Kerry-A Hua (Xiengkhuang)",s,Admin,"2024-06-06 16:06:00"
55,,DO670606-00013,867003068242318,"ATP - Than mobile","ATP - Ata mobile1 Agent Store","352026696 - ATP - Than mobile","352026684 - ATP - Ata mobile1 Agent Shop","Kerry-ATA (Attapue)",s,Admin,"2024-06-06 16:06:07"
56,IN670514-00159,DO670606-00014,862980062117098,"KAM - Ammuna Mobile","KAM - Awen mobile6","352026797 - KAM - Ammuna Mobile","352026799 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",s,Admin,"2024-06-06 16:06:47"
57,IN670504-00107,DO670606-00015,863671060108119,"SVK - A Rong mobile","SVK - INEW Savan1 Agent Store","352027386 - SVK - A Rong mobile","352027416 - SVK - INEW Savan1 Agent Shop","Kerry-INEW SVK (Savanakhet)",s,Admin,"2024-06-06 16:06:29"
58,IN670606-00069,DO670606-00016,862774061597750,"KAM - Vongsa Mobile2","KAM - Vanhxai mobile","352026834 - KAM - Vongsa mobile1","352026833 - KAM - Vanhxai mobile","Kerry-Awen (Thakhaek)",s,Admin,"2024-06-06 16:06:12"
59,IN670603-00049,DO670606-00017,862774061953235,"BLX - A aung mobile","KAM - Awen mobile4","352026715 - BLX - A aung mobile","352026799 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",s,Admin,"2024-06-06 16:06:52"
60,,DO670606-00018,862774061944630,"BLX - RC Mobile","KAM - Awen mobile5","352026756 - BLX - RC Mobile","352026799 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",s,Admin,"2024-06-06 16:06:39"
61,IN670603-00146,DO670606-00019,862774061554132,"SVK - TN phone2","SVK - Apiew","352027400 - SVK - Atuan mobile","352027397 - SVK - Apiew","Kerry-INEW SVK (Savanakhet)",s,Admin,"2024-06-06 16:06:06"
62,IN670604-00089,DO670606-00020,862774061553613,"SVK - Bouakham Mobile","SVK - ATong Mobile1","352027471 - SVK - Vone Mobile","352027398 - SVK - ATong Mobile1","Kerry-INEW SVK (Savanakhet)",s,Admin,"2024-06-06 16:06:25"
63,,DO670607-00001,862780063324093,"PSL - Jping Mobile1","PSL - JW mobile3","352026983 - PSL - Jping Phongsaly","352026915 - PSL - JW mobile Agent Shop","Kerry-JW (Phonsaly)","N2681 Approval No.：202406061843000516382",Admin,"2024-06-07 10:06:19"
64,IN670506-00093,DO670607-00002,862774061952419,"PSL - LV Mobile2","PSL - JW mobile3","352026986 - PSL - LV mobile","352026915 - PSL - JW mobile Agent Shop","Kerry-JW (Phonsaly)","N2681 Approval No.：202406061838000450840",Admin,"2024-06-07 11:06:25"
65,IN670517-00089,DO670607-00003,862774061569619,"HPN - Adian Mobile2","HPN - Adian Mobile1","352026767 - HPN - Adian Mobile1","352026767 - HPN - Adian Mobile1","Kerry - A Lei (Huaphan)","N1988 Approval No.：202406061606000401647",Admin,"2024-06-07 11:06:11"
66,IN670516-00093,DO670607-00004,863671065796454,"XKH - YH mobile","XKH - Ahua Mobile1 Agent Shop","352032239 - XKH - YH mobile","352027024 - XKH - Ahua Mobile1 Agent Shop","Kerry-A Hua (Xiengkhuang)","N2545 Approval No.：202406070953000161514",Admin,"2024-06-07 11:06:48"
67,IN670531-00025,DO670607-00005,862980062129952,"PSL - JW Mobile4","PSL - PSL Mobile 4","352026915 - PSL - JW mobile Agent Shop","352026989 - PSL - PSL Mobile 4","Kerry-JW (Phonsaly)","N2681 Approval No.：202406071400000044985",Admin,"2024-06-07 15:06:38"
68,IN670514-00143,DO670607-00006,863671065830758,"XKH - YH mobile","XKH - Ahua Mobile1 Agent Shop","352032239 - XKH - YH mobile","352027024 - XKH - Ahua Mobile1 Agent Shop","Kerry-A Hua (Xiengkhuang)","N2545 Approval No.：202406071626000265397",Admin,"2024-06-07 15:06:22"
69,IN670525-00020,DO670607-00007,866654063868019,"SLV - PSV","SLV - Viet 92 mobile","352027371 - SLV - PSV","352031891 - SLV - Viet 92 mobile","Kerry-ABO (Salavan)","N2591 Approval No.：202406071638000383453",Admin,"2024-06-07 16:06:02"
70,IN670525-00020,DO670607-00008,866654063869736,"SLV - PSV","SLV - Viet 92 mobile","352027371 - SLV - PSV","352031891 - SLV - Viet 92 mobile","Kerry-ABO (Salavan)","N2591 Approval No.：202406071638000383453",Admin,"2024-06-07 16:06:02"
71,IN670525-00020,DO670607-00009,867993076599552,"SLV - PSV","SLV - Viet 92 mobile","352027371 - SLV - PSV","352031891 - SLV - Viet 92 mobile","Kerry-ABO (Salavan)","N2591 Approval No.：202406071638000383453",Admin,"2024-06-07 16:06:02"
72,,DO670608-00001,867003069283857,"VT1 - L&A mobile","VT1 - A Fong mobile","352032471 - VT1 - L&A mobile","352027129 - VT1 - A Fong mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-06-08 09:06:04"
73,IN670518-00062,DO670608-00002,863671064893930,"LNT - SP mobile","LNT - Aping mobile ຫຼວງນ້ຳທາ","352032221 - LNT - SP mobile","352026838 - LNT - Aping mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-06-08 10:06:33"
74,IN670513-00225,DO670608-00003,867993074503572,LNT - Hongda electronic,"LNT - Ayao mobile1 Agent Store","352031959 - LNT - Hongda electronic","352026840 - LNT - Ayao mobile1 Agent Shop","Kerry-A Yao (Loungnamtha)","N2558 Approval No.：202406071802000463366",Admin,"2024-06-08 10:06:29"
75,,DO670608-00004,866654062167074,"SVK - A Rong mobile","SVK - INEW Savan1 Agent Store","352027386 - SVK - A Rong mobile","352027416 - SVK - INEW Savan1 Agent Shop","Kerry-INEW SVK (Savanakhet)","N2471 Approval No.：202406081150000179372",Admin,"2024-06-08 10:06:58"
76,,DO670608-00005,865055069476651,"VT1 - LCC1 Dongpalan","VT1 - DDE Dongpalan","352027235 - VT1 - LCC1 Dongpalan","352027197 - VT1 - DDE Dongdok","WH - Stock OPPO (Mark)",,M20180315,"2024-06-08 13:06:12"
77,IN670502-00121,DO670610-00001,863671060434119,"VT3 - phanphon","VT3 - Win Samsung2 Agent Store","352027270 - VT3 - phanphon","352027334 - VT3 - Win Samsung 2 Agent Shop","Kerry-Win (Vientiane)",,M20180315,"2024-06-10 08:06:09"
78,IN670502-00121,DO670610-00002,863671060434416,"VT3 - phanphon","VT3 - Win Samsung2 Agent Store","352027270 - VT3 - phanphon","352027334 - VT3 - Win Samsung 2 Agent Shop","Kerry-Win (Vientiane)",,M20180315,"2024-06-10 08:06:09"
79,IN670530-00028,DO670610-00003,863671065109393,"BLX - A yun mobile ບໍລະຄຳໄຊ","BLX - A ying mobile ປາກກະດິງ","352026723 - BLX - A yun mobile","352026722 - BLX - A ying mobile Parkkading","Kerry-Awen (Thakhaek)","N1542 Approval No.：202406081236000543735",Admin,"2024-06-10 13:06:34"
80,IN670530-00028,DO670610-00004,863671065116273,"BLX - A yun mobile ບໍລະຄຳໄຊ","BLX - A ying mobile ປາກກະດິງ","352026723 - BLX - A yun mobile","352026722 - BLX - A ying mobile Parkkading","Kerry-Awen (Thakhaek)","N1542 Approval No.：202406081236000543735",Admin,"2024-06-10 13:06:34"
81,IN670530-00028,DO670610-00005,863671065196655,"BLX - A yun mobile ບໍລະຄຳໄຊ","BLX - A ying mobile ປາກກະດິງ","352026723 - BLX - A yun mobile","352026722 - BLX - A ying mobile Parkkading","Kerry-Awen (Thakhaek)","N1542 Approval No.：202406081236000543735",Admin,"2024-06-10 13:06:34"
82,IN670530-00028,DO670610-00006,863671065199550,"BLX - A yun mobile ບໍລະຄຳໄຊ","BLX - A ying mobile ປາກກະດິງ","352026723 - BLX - A yun mobile","352026722 - BLX - A ying mobile Parkkading","Kerry-Awen (Thakhaek)","N1542 Approval No.：202406081236000543735",Admin,"2024-06-10 13:06:34"
83,IN670530-00028,DO670610-00007,863671065196978,"BLX - A yun mobile ບໍລະຄຳໄຊ","BLX - A ying mobile ປາກກະດິງ","352026723 - BLX - A yun mobile","352026722 - BLX - A ying mobile Parkkading","Kerry-Awen (Thakhaek)","N1542 Approval No.：202406081236000543735",Admin,"2024-06-10 13:06:34"
