No.,"INVOICE NUMBER","DO NUMBER",IMEI,"STORE TRANFER ( IN )","STORE TRANFER ( OUT )","DISTRIBUTOR / WAREHOUSE ( IN )","DISTRIBUTOR / WAREHOUSE ( OUT )",WAREHOUSE,REMARK,"CREATED BY",TIME
1,IN670604-00017,DO670801-00001,865073061687753,"VT2 - II phone1","VT2 - R mobile ໂພນສະອາດ","352027215 - VT2 - II phone1","352027282 - VT2 - R mobile Phonesaart","Kerry-INEW (Vientiane)",,M20180315,"2024-08-01 11:08:12"
2,IN670729-00142,DO670801-00002,867650079198572,"VT2 - II phone1","VT2 - TL mobile ທ່າງອນ","352027215 - VT2 - II phone1","352027321 - VT2 - TL","Kerry-INEW (Vientiane)",,M20180315,"2024-08-01 11:08:20"
3,IN670730-00164,DO670801-00003,868973070650733,"VT3 - Sanlanh Phone","VT3 - Win Samsung2 Agent Store","352027285 - VT3 - Sanlanh Phone","352027334 - VT3 - Win Samsung 2 Agent Shop","Kerry-Win (Vientiane)",,M20180315,"2024-08-01 15:08:32"
4,IN670729-00142,DO670801-00004,867650079198572,"VT2 - TL mobile ທ່າງອນ","VT2 - II phone1","352027321 - VT2 - TL","352027215 - VT2 - II phone1","Kerry-INEW (Vientiane)",,M20180315,"2024-08-01 16:08:01"
5,IN670730-00018,DO670802-00001,869029074714899,"VT2 - II phone1","VT2 - R mobile ໂພນສະອາດ","352027215 - VT2 - II phone1","352027282 - VT2 - R mobile Phonesaart","Kerry-INEW (Vientiane)",,M20180315,"2024-08-02 10:08:41"
6,IN670602-00042,DO670802-00002,862774061952690,"KAM - Khek mobile","KAM - Awen mobile2","352026811 - KAM - Khek mobile","352026799 - KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",s,Admin,"2024-08-02 13:08:05"
7,IN670727-00059,DO670802-00003,868973073116674,"VT2 - Mai mobile ໂພນໂຮງ","VT2 - INEW Center","352027246 - VT2 - Mai mobilePhonehong","352027216 - VT2 - INEW SamSung Agent Shop","Kerry-INEW (Vientiane)",s,Admin,"2024-08-02 13:08:58"
8,IN670728-00039,DO670802-00004,867528073173298,"LNT - Jumbo mobile","LNT - Ayao mobile1 Agent Store","352032136 - LNT - Jumbo mobile","352026840 - LNT - Ayao mobile1 Agent Shop","Kerry-A Yao (Loungnamtha)",s,Admin,"2024-08-02 13:08:29"
9,IN670728-00039,DO670802-00005,869029074714816,"LNT - Jumbo mobile","LNT - Ayao mobile1 Agent Store","352032136 - LNT - Jumbo mobile","352026840 - LNT - Ayao mobile1 Agent Shop","Kerry-A Yao (Loungnamtha)",s,Admin,"2024-08-02 13:08:29"
10,IN670710-00096,DO670802-00006,862774061951395,"BLX - Awen mobile3","BLX - Phamueng mobile","352026799 - KAM - Awen mobile1 Agent Shop","352031577 - BLX - Phamueng mobile","Kerry-Awen (Thakhaek)",s,Admin,"2024-08-02 13:08:16"
11,IN670714-00007,DO670802-00007,866654064944173,"SEK - Vankham mobile","SEK - ST Mobile2 Agent Shop","352031510 - SEK - Vankham mobile","352031994 - SEK - ST Mobile2 Agent Shop","Kerry-ST (Sekong)",s,Admin,"2024-08-02 13:08:55"
12,IN670604-00017,DO670802-00008,865073061972874,"VT2 - II phone1","VT2 - R mobile ໂພນສະອາດ","352027215 - VT2 - II phone1","352027282 - VT2 - R mobile Phonesaart","Kerry-INEW (Vientiane)",,M20180315,"2024-08-02 14:08:08"
13,IN670604-00017,DO670802-00009,865073061972650,"VT2 - II phone1","VT2 - R mobile ໂພນສະອາດ","352027215 - VT2 - II phone1","352027282 - VT2 - R mobile Phonesaart","Kerry-INEW (Vientiane)",,M20180315,"2024-08-02 14:08:08"
14,,DO670802-00010,860306074483975,"VT1 - BTL ສະພານທອງ","VT1 - JJ Mobile","352027190 - VT1 - BTL Saphanthong","352027219 - VT1 - JJ-MB","WH - Stock OPPO (Mark)",,M20180315,"2024-08-02 14:08:47"
15,,DO670802-00011,866654062042236,"VT1 - W and W Advice","VT1 - khun mobile ໂພນປາເປົ້າ","352027333 - VT1 - W&W Advice","352027223 - VT1 - khun mobile Phonepapao","WH - Stock OPPO (Mark)",,M20180315,"2024-08-02 14:08:13"
16,IN670604-00017,DO670802-00012,865073061972734,"VT2 - II phone1","VT2 - R mobile ໂພນສະອາດ","352027215 - VT2 - II phone1","352027282 - VT2 - R mobile Phonesaart","Kerry-INEW (Vientiane)",,M20180315,"2024-08-02 15:08:42"
17,IN670729-00049,DO670802-00013,868973070650691,"VT3 - Sanlanh Phone","VT3 - Win ດອນໜູນ","352027285 - VT3 - Sanlanh Phone","352027334 - VT3 - Win Samsung 2 Agent Shop","Kerry-Win (Vientiane)",,M20180315,"2024-08-02 16:08:05"
18,IN670731-00120,DO670802-00014,868973073115692,"VT1 - Tun mobile","VT1 - Folder shop","352027325 - VT1 - Tun mobile","352027204 - VT1 - Folder shop","WH - Stock OPPO (Mark)",,M20180315,"2024-08-02 17:08:41"
19,IN670515-00044,DO670803-00001,867993074224179,"BLX - Afuo mobileຄຳເກີດ","BLX - Afuo ຈອມທອງ","352026730 - BLX - Akhai mobile 1","352026728 - BLX - Afou ViengThong","Kerry-Awen (Thakhaek)","N651 Approval No.：202408031032000010178",Admin,"2024-08-03 10:08:03"
20,IN670728-00053,DO670803-00002,868973073116575,"PSL - Jping Mobile1","PSL - JW Mobile4","352026983 - PSL - Jping Phongsaly","352026915 - PSL - JW mobile Agent Shop","Kerry-JW (Phonsaly)","N2681 Approval No.：20240803113700029301",Admin,"2024-08-03 10:08:00"
21,IN670803-00049,DO670803-00003,868973072616195,"SLV - pakse mobile4","SLV - Abo mobile1 Agent Store","352027370 - SLV - pakse mobile4","352027347 - SLV - Abo mobile1 Agent Shop","Kerry-ABO (Salavan)","N2591 Approval No.：202408031739000333929",Admin,"2024-08-03 16:08:08"
22,IN670801-00023,DO670805-00001,863671069070393,"VT1 - L&A mobile","VT1 - PJ","352032471 - VT1 - L&A mobile","352027273 - VT1 - PJ","WH - Stock OPPO (Mark)",,M20180315,"2024-08-05 09:08:58"
23,IN670801-00023,DO670805-00002,862287067696773,"VT1 - L&A mobile","VT1 - PJ","352032471 - VT1 - L&A mobile","352027273 - VT1 - PJ","WH - Stock OPPO (Mark)",,M20180315,"2024-08-05 09:08:58"
24,IN670613-00037,DO670805-00003,868800072834850,"VT1 - LCC1 Dongpalan","VT1 - DDE Dongpalan","352027235 - VT1 - LCC1 Dongpalan","352027197 - VT1 - DDE Dongdok","WH - Stock OPPO (Mark)",,M20180315,"2024-08-05 11:08:39"
25,IN670728-00039,DO670805-00004,868973073112798,"LNT - PP mobile","LNT - Ayao mobile1 Agent Store","352026847 - LNT - PP mobile","352026840 - LNT - Ayao mobile1 Agent Shop","Kerry-A Yao (Loungnamtha)","N2558 Approval No.：202408031946000467267",Admin,"2024-08-05 11:08:42"
26,IN670727-00026,DO670805-00005,868973073114638,"BLX - Asheng mobileຄຳເກີດ","BLX - aliu mobile ຄຳເກີດ","352026737 - BLX - Asheng mobile","352026734 - BLX - aliu mobile Noungpong","Kerry-Awen (Thakhaek)","N651 Approval No.：202408041241000258809",Admin,"2024-08-05 11:08:31"
27,IN670729-00100,DO670805-00006,868973072643330,"SVK - Apiew","SVK - INEW Savan1 Agent Store","352027397 - SVK - Apiew","352027416 - SVK - INEW Savan1 Agent Shop","Kerry-INEW SVK (Savanakhet)","N518 Approval No.：202408041608000195838",Admin,"2024-08-05 11:08:09"
28,IN670727-00051,DO670805-00007,867650074684410,"XKH - Aliu mobile (WD)","XKH - Ahua Mobile1 Agent Shop","352032145 - XKH - Aliu mobile (WD)","352027024 - XKH - Ahua Mobile1 Agent Shop","Kerry-A Hua (Xiengkhuang)","N2545 Approval No.：202408031753000281112",Admin,"2024-08-05 11:08:54"
29,IN670803-00001,DO670805-00008,869029074940619,"ODX - Awen mobile","ODX - Abao mobile3 ເມືອງຮຸ່ນ","352031868 - ODX - Awen mobile","352026897 - ODX - Abao mobile1 Agent Shop","Kerry-A BAO (Oudomxai)","N145 Approval No.：202408042238000483516",Admin,"2024-08-05 11:08:39"
30,IN670730-00001,DO670805-00009,868973070647994,"LPB - HX","LPB - Abo mobile2 ນ້ຳບາກ","352026874 - LPB - HX","352026851 - LPB - Abo mobile1 Numbark","Kerry-QZ (Loungprabang)","N0231 Approval No.：202408051113000559620",Admin,"2024-08-05 11:08:14"
