No.,"INVOICE NUMBER","DO NUMBER",IMEI,"STORE TRANFER ( IN )","STORE TRANFER ( OUT )","DISTRIBUTOR / WAREHOUSE ( IN )","DISTRIBUTOR / WAREHOUSE ( OUT )",WAREHOUSE,REMARK,"CREATED BY",TIME
1,IN670708-00078,DO670831-00001,863671065971255,"VT1 - QQ Mobile","VT1 - TK Mobile","352032543 - VT1 - QQ Mobile","352031490 - VT1 - TK Mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-08-31 08:08:12"
2,IN670511-00026,DO670831-00002,866227061149573,"VT3 - No Mobile","VT3 - PP Smartphone ເມືອງເຟືອງ","352027258 - VT3 - No Mobile","352027279 - VT3 - PP Smartphone Mueangfueang","Kerry-Win (Vientiane)",,M20180315,"2024-08-31 09:08:00"
3,IN670511-00026,DO670831-00003,866227061147890,"VT3 - No Mobile","VT3 - PP Smartphone ເມືອງເຟືອງ","352027258 - VT3 - No Mobile","352027279 - VT3 - PP Smartphone Mueangfueang","Kerry-Win (Vientiane)",,M20180315,"2024-08-31 09:08:00"
4,IN670511-00026,DO670831-00004,862287067898379,"VT3 - No Mobile","VT3 - PP Smartphone ເມືອງເຟືອງ","352027258 - VT3 - No Mobile","352027279 - VT3 - PP Smartphone Mueangfueang","Kerry-Win (Vientiane)",,M20180315,"2024-08-31 09:08:00"
5,IN670511-00026,DO670831-00005,867993074482751,"VT3 - No Mobile","VT3 - PP Smartphone ເມືອງເຟືອງ","352027258 - VT3 - No Mobile","352027279 - VT3 - PP Smartphone Mueangfueang","Kerry-Win (Vientiane)",,M20180315,"2024-08-31 09:08:00"
6,IN670830-00152,DO670831-00006,869029074941757,"VT1 - ComCom Mobile","VT1 - Tao mobile","352027194 - VT1 - ComCom Mobile","352032550 - VT1 - Tao mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-08-31 09:08:49"
7,IN670830-00152,DO670831-00007,865154070031850,"VT1 - ComCom Mobile","VT1 - Tao mobile","352027194 - VT1 - ComCom Mobile","352032550 - VT1 - Tao mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-08-31 09:08:49"
8,IN670831-00050,DO670831-00008,867650074567433,"VT1 - CL Nongniaw","After-sales replacement shop","352027192 - VT1 - CL Saphanthong","352027531 - After-sales replacement shop","WH - Stock After Sale (Afeng)",,M20190520,"2024-08-31 09:08:28"
9,,DO670831-00009,865947067750212,"ATP - Ata mobile1 Agent Store","ATP - Hung Mobile","352026684 - ATP - Ata mobile1 Agent Shop","352031796 - ATP - Hung Mobile","Kerry-ATA (Attapue)","From closed store",Admin,"2024-08-31 13:08:58"
10,,DO670831-00010,865947067750311,"ATP - Ata mobile1 Agent Store","ATP - Hung Mobile","352026684 - ATP - Ata mobile1 Agent Shop","352031796 - ATP - Hung Mobile","Kerry-ATA (Attapue)","From closed store",Admin,"2024-08-31 13:08:58"
11,IN670601-00046,DO670831-00011,862774061757313,"Catty Laos Virtual Mobile","VT1 - BigC mobile","352027521 - Catty Laos Virtual","352032511 - VT1 - BigC mobile","WH - Stock OPPO (Mark)","Closed store",Admin,"2024-08-31 13:08:46"
12,IN670804-00007,DO670831-00012,868973073113572,"BLX - aliu mobile ຄຳເກີດ","SLV - Abo mobile1 Agent Store","352026734 - BLX - aliu mobile Noungpong","352027347 - SLV - Abo mobile1 Agent Shop","Kerry-ABO (Salavan)",202408301823000006904,Admin,"2024-08-31 14:08:43"
13,IN670728-00002,DO670831-00013,868973073116419,"XKH - Ahua Mobile1 Agent Shop","XKH - YH mobile","352027024 - XKH - Ahua Mobile1 Agent Shop","352032239 - XKH - YH mobile","Kerry-A Hua (Xiengkhuang)",202408301636000257707,Admin,"2024-08-31 14:08:04"
14,IN670729-00076,DO670831-00014,868973072614018,"LNT - Aming mobile",LNT - Hongda electronic2,"352031920 - LNT - Aming mobile","352031959 - LNT - Hongda electronic","Kerry-A Yao (Loungnamtha)",202408301946000017455,Admin,"2024-08-31 14:08:06"
15,IN670705-00031,DO670831-00015,868800074010475,"CPS - Jk mobile8","CPS - Alee mobile","352026952 - CPS - Jk mobile3 Agent Shop","352026936 - CPS - Alee mobile","Kerry-JK (Pakse)",202408311146000354716,Admin,"2024-08-31 14:08:11"
16,IN670723-00135,DO670831-00016,866227061695039,"LNT - SP mobile","LNT - KK Mobile","352032221 - LNT - SP mobile","352032401 - LNT - KK Mobile","Kerry-A Yao (Loungnamtha)",202408311346000506092,Admin,"2024-08-31 14:08:53"
17,,DO670831-00017,867003067922191,"CPS - Jk mobile3 Agent Store","CPS - J mobile","352026952 - CPS - Jk mobile3 Agent Shop","352031838 - CPS - J mobile","Kerry-JK (Pakse)","Closed store 202408301826000113023",Admin,"2024-08-31 15:08:40"
18,,DO670831-00018,868714062224792,"CPS - Jk mobile3 Agent Store","CPS - J mobile","352026952 - CPS - Jk mobile3 Agent Shop","352031838 - CPS - J mobile","Kerry-JK (Pakse)","Closed store 202408301826000113023",Admin,"2024-08-31 15:08:40"
