No.,"INVOICE NUMBER","DO NUMBER",IMEI,"STORE TRANFER ( IN )","STORE TRANFER ( OUT )","DISTRIBUTOR / WAREHOUSE ( IN )","DISTRIBUTOR / WAREHOUSE ( OUT )",WAREHOUSE,REMARK,"CREATED BY",TIME
1,,DO670426-00001,863686070077062,,,,,"WH - Stock OPPO (Mark)",,Admin,"2024-04-26 14:08:25"
2,,DO670501-00001,862780063704153,,,"352032221 - LNT - SP mobile","352031959 - LNT - Hongda electronic","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-01 17:36:20"
3,,DO670502-00001,860716060162773,,,"352027174 - VT1 - ATL1 Nongchan","352027334 - VT3 - Win Samsung 2 Agent Shop","Kerry-Win (Vientiane)",,Admin,"2024-05-02 12:54:09"
4,IN670503-00032,DO670503-00001,862774061761232,,,"352027521 - Catty Laos Virtual","352031994 - SEK - ST Mobile2 Agent Shop","Kerry-ST (Sekong)",,Admin,"2024-05-03 11:31:21"
5,IN670503-00032,DO670503-00001,862774061760952,,,"352027521 - Catty Laos Virtual","352031994 - SEK - ST Mobile2 Agent Shop","Kerry-ST (Sekong)",,Admin,"2024-05-03 11:31:21"
6,IN670503-00032,DO670503-00001,862774061527559,,,"352027521 - Catty Laos Virtual","352031994 - SEK - ST Mobile2 Agent Shop","Kerry-ST (Sekong)",,Admin,"2024-05-03 11:31:21"
7,IN670503-00033,DO670503-00002,866155066322459,,,"352027521 - Catty Laos Virtual","352026684 - ATP - Ata mobile1 Agent Shop","Kerry-ATA (Attapue)",,Admin,"2024-05-03 11:34:54"
8,IN670503-00033,DO670503-00002,866155066315032,,,"352027521 - Catty Laos Virtual","352026684 - ATP - Ata mobile1 Agent Shop","Kerry-ATA (Attapue)",,Admin,"2024-05-03 11:34:54"
9,IN670503-00092,DO670506-00001,863671064412517,,,"352032221 - LNT - SP mobile","352026844 - LNT - KP mobile1","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-06 09:52:46"
10,IN670504-00014,DO670506-00002,867003069345250,,,"352027216 - VT2 - INEW SamSung Agent Shop","352027216 - VT2 - INEW SamSung Agent Shop","Kerry-INEW (Vientiane)",,Admin,"2024-05-06 14:52:10"
11,IN670507-00004,DO670507-00001,867003068132477,,,"352027216 - VT2 - INEW SamSung Agent Shop","352027228 - VT2 - kplaza","Kerry-INEW (Vientiane)",,Admin,"2024-05-07 10:46:53"
12,IN670507-00004,DO670507-00001,867003068131339,,,"352027216 - VT2 - INEW SamSung Agent Shop","352027228 - VT2 - kplaza","Kerry-INEW (Vientiane)",,Admin,"2024-05-07 10:46:53"
13,IN670507-00004,DO670507-00001,867003068130398,,,"352027216 - VT2 - INEW SamSung Agent Shop","352027228 - VT2 - kplaza","Kerry-INEW (Vientiane)",,Admin,"2024-05-07 10:46:53"
14,IN670507-00004,DO670507-00001,867003068202254,,,"352027216 - VT2 - INEW SamSung Agent Shop","352027228 - VT2 - kplaza","Kerry-INEW (Vientiane)",,Admin,"2024-05-07 10:46:53"
15,IN670507-00004,DO670507-00001,867003068133319,,,"352027216 - VT2 - INEW SamSung Agent Shop","352027228 - VT2 - kplaza","Kerry-INEW (Vientiane)",,Admin,"2024-05-07 10:46:53"
16,,DO670507-00002,867003069331433,,,"352026865 - LPB - AT1 Luangphabang","352026885 - LPB - QZ Mobile Agent Shop","Kerry-QZ (Loungprabang)",,Admin,"2024-05-07 16:06:48"
17,,DO670507-00002,867003065329597,,,"352026865 - LPB - AT1 Luangphabang","352026885 - LPB - QZ Mobile Agent Shop","Kerry-QZ (Loungprabang)",,Admin,"2024-05-07 16:06:48"
18,,DO670507-00003,866654062040917,,,"352032426 - ODX - Ayang mobile","352026897 - ODX - Abao mobile1 Agent Shop","Kerry-A BAO (Oudomxai)",,Admin,"2024-05-07 16:09:06"
19,,DO670507-00004,863178063560577,,,"352032221 - LNT - SP mobile","352032401 - LNT - KK Mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-07 16:12:21"
