No.,"INVOICE NUMBER","DO NUMBER",IMEI,"STORE TRANFER ( IN )","STORE TRANFER ( OUT )","DISTRIBUTOR / WAREHOUSE ( IN )","DISTRIBUTOR / WAREHOUSE ( OUT )",WAREHOUSE,REMARK,"CREATED BY",TIME
1,IN680201-00055,DO680201-00001,868998070749417,"Catty Laos Virtual Mobile","CPS - Jk mobile3 Agent Store","352027521 - Catty Laos Virtual","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","Clear Stock Reno 12F 4G JK",Admin,"2025-02-01 12:02:40"
2,IN680201-00055,DO680201-00002,868998070782632,"Catty Laos Virtual Mobile","CPS - Jk mobile3 Agent Store","352027521 - Catty Laos Virtual","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","Clear Stock Reno 12F 4G JK",Admin,"2025-02-01 12:02:40"
3,IN680201-00055,DO680201-00003,868998071553016,"Catty Laos Virtual Mobile","CPS - Jk mobile3 Agent Store","352027521 - Catty Laos Virtual","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","Clear Stock Reno 12F 4G JK",Admin,"2025-02-01 12:02:40"
4,IN680201-00055,DO680201-00004,868998071556977,"Catty Laos Virtual Mobile","CPS - Jk mobile3 Agent Store","352027521 - Catty Laos Virtual","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","Clear Stock Reno 12F 4G JK",Admin,"2025-02-01 12:02:41"
5,IN680201-00055,DO680201-00005,868998071639039,"Catty Laos Virtual Mobile","CPS - Jk mobile3 Agent Store","352027521 - Catty Laos Virtual","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","Clear Stock Reno 12F 4G JK",Admin,"2025-02-01 12:02:41"
6,IN680201-00055,DO680201-00006,868998071642892,"Catty Laos Virtual Mobile","CPS - Jk mobile3 Agent Store","352027521 - Catty Laos Virtual","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","Clear Stock Reno 12F 4G JK",Admin,"2025-02-01 12:02:41"
7,IN680201-00055,DO680201-00007,868998071643411,"Catty Laos Virtual Mobile","CPS - Jk mobile3 Agent Store","352027521 - Catty Laos Virtual","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","Clear Stock Reno 12F 4G JK",Admin,"2025-02-01 12:02:41"
8,IN680201-00055,DO680201-00008,868998070230079,"Catty Laos Virtual Mobile","CPS - Jk mobile3 Agent Store","352027521 - Catty Laos Virtual","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","Clear Stock Reno 12F 4G JK",Admin,"2025-02-01 12:02:41"
9,IN680201-00055,DO680201-00009,868998070257619,"Catty Laos Virtual Mobile","CPS - Jk mobile3 Agent Store","352027521 - Catty Laos Virtual","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","Clear Stock Reno 12F 4G JK",Admin,"2025-02-01 12:02:41"
10,IN680201-00055,DO680201-00010,868998070263435,"Catty Laos Virtual Mobile","CPS - Jk mobile3 Agent Store","352027521 - Catty Laos Virtual","352026952 - CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)","Clear Stock Reno 12F 4G JK",Admin,"2025-02-01 12:02:41"
