No.,"INVOICE NUMBER","DO NUMBER",IMEI,"STORE TRANFER ( IN )","STORE TRANFER ( OUT )","DISTRIBUTOR / WAREHOUSE ( IN )","DISTRIBUTOR / WAREHOUSE ( OUT )",WAREHOUSE,REMARK,"CREATED BY",TIME
1,,DO670426-00001,863686070077062,,,,,"WH - Stock OPPO (Mark)",,Admin,"2024-04-26 14:08:25"
2,,DO670501-00001,862780063704153,,,"LNT - SP mobile",LNT - Hongda electronic,"Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-01 17:36:20"
3,,DO670502-00001,860716060162773,,,,"VT3 - Win Samsung 2 Agent Shop","Kerry-Win (Vientiane)",,Admin,"2024-05-02 12:54:09"
4,IN670503-00032,DO670503-00001,862774061761232,,,"Catty Laos Virtual","SEK - ST Mobile2 Agent Shop","Kerry-ST (Sekong)",,Admin,"2024-05-03 11:31:21"
5,IN670503-00032,DO670503-00001,862774061760952,,,"Catty Laos Virtual","SEK - ST Mobile2 Agent Shop","Kerry-ST (Sekong)",,Admin,"2024-05-03 11:31:21"
6,IN670503-00032,DO670503-00001,862774061527559,,,"Catty Laos Virtual","SEK - ST Mobile2 Agent Shop","Kerry-ST (Sekong)",,Admin,"2024-05-03 11:31:21"
7,IN670503-00033,DO670503-00002,866155066322459,,,"Catty Laos Virtual","ATP - Ata mobile1 Agent Shop","Kerry-ATA (Attapue)",,Admin,"2024-05-03 11:34:54"
8,IN670503-00033,DO670503-00002,866155066315032,,,"Catty Laos Virtual","ATP - Ata mobile1 Agent Shop","Kerry-ATA (Attapue)",,Admin,"2024-05-03 11:34:54"
9,IN670503-00092,DO670506-00001,863671064412517,,,"LNT - SP mobile","LNT - KP mobile1","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-06 09:52:46"
10,IN670504-00014,DO670506-00002,867003069345250,,,"VT2 - INEW SamSung Agent Shop","VT2 - INEW SamSung Agent Shop","Kerry-INEW (Vientiane)",,Admin,"2024-05-06 14:52:10"
11,IN670507-00004,DO670507-00001,867003068132477,,,"VT2 - INEW SamSung Agent Shop","VT2 - kplaza","Kerry-INEW (Vientiane)",,Admin,"2024-05-07 10:46:53"
12,IN670507-00004,DO670507-00001,867003068131339,,,"VT2 - INEW SamSung Agent Shop","VT2 - kplaza","Kerry-INEW (Vientiane)",,Admin,"2024-05-07 10:46:53"
13,IN670507-00004,DO670507-00001,867003068130398,,,"VT2 - INEW SamSung Agent Shop","VT2 - kplaza","Kerry-INEW (Vientiane)",,Admin,"2024-05-07 10:46:53"
14,IN670507-00004,DO670507-00001,867003068202254,,,"VT2 - INEW SamSung Agent Shop","VT2 - kplaza","Kerry-INEW (Vientiane)",,Admin,"2024-05-07 10:46:53"
15,IN670507-00004,DO670507-00001,867003068133319,,,"VT2 - INEW SamSung Agent Shop","VT2 - kplaza","Kerry-INEW (Vientiane)",,Admin,"2024-05-07 10:46:53"
16,,DO670507-00002,867003069331433,,,"LPB - AT1 Luangphabang","LPB - QZ Mobile Agent Shop","Kerry-QZ (Loungprabang)",,Admin,"2024-05-07 16:06:48"
17,,DO670507-00002,867003065329597,,,"LPB - AT1 Luangphabang","LPB - QZ Mobile Agent Shop","Kerry-QZ (Loungprabang)",,Admin,"2024-05-07 16:06:48"
18,,DO670507-00003,866654062040917,,,"ODX - Ayang mobile","ODX - Abao mobile1 Agent Shop","Kerry-A BAO (Oudomxai)",,Admin,"2024-05-07 16:09:06"
19,,DO670507-00004,863178063560577,,,"LNT - SP mobile","LNT - KK Mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-07 16:12:21"
20,,DO670507-00005,867528073044010,,,"LNT - Aqing mobile","LNT - Ayao mobile1 Agent Shop","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-07 16:13:01"
21,,DO670507-00006,867003065658037,,,"LNT - KP mobile1","LNT - SP mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-07 16:13:43"
22,,DO670507-00007,866155066415337,,,"LNT - SP mobile","LNT - KK Mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-07 16:14:24"
23,,DO670507-00008,867003068624093,,,"LNT - Noy mobile Xienglea","LNT - SP mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-07 16:15:08"
24,IN670504-00008,DO670507-00009,865055069463832,,,"PSL - JW mobile Agent Shop","ODX - Abao mobile1 Agent Shop","Kerry-A BAO (Oudomxai)",,Admin,"2024-05-07 16:15:50"
25,IN670505-00014,DO670507-00010,867528073509970,,,"LNT - Sy mobile1","LNT - SP mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-07 16:20:21"
26,,DO670507-00011,867003065763712,,,"LNT - KP mobile1","LNT - Aping mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-07 16:21:02"
27,,DO670507-00012,865055066178490,,,"KAM - KPs mobile","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-07 16:21:42"
28,,DO670507-00013,863178062969951,,,"KAM - TK mobile","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-07 16:22:20"
29,,DO670507-00014,868908063265875,,,"PSL - JingCai mobile","PSL - Jping Phongsaly","Kerry-JW (Phonsaly)",,Admin,"2024-05-07 16:23:50"
30,,DO670507-00014,868908061704354,,,"PSL - JingCai mobile","PSL - Jping Phongsaly","Kerry-JW (Phonsaly)",,Admin,"2024-05-07 16:23:50"
31,,DO670508-00001,867003069342794,,,"VT2 - T Shop mobile","VT2 - inter telecom","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 10:30:13"
32,,DO670508-00001,867003069342695,,,"VT2 - T Shop mobile","VT2 - inter telecom","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 10:30:13"
33,,DO670508-00001,867003069342653,,,"VT2 - T Shop mobile","VT2 - inter telecom","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 10:30:13"
34,,DO670508-00001,867003068203039,,,"VT2 - T Shop mobile","VT2 - inter telecom","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 10:30:13"
35,,DO670508-00001,867003068202437,,,"VT2 - T Shop mobile","VT2 - inter telecom","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 10:30:13"
36,,DO670508-00001,867003068202395,,,"VT2 - T Shop mobile","VT2 - inter telecom","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 10:30:13"
37,,DO670508-00001,867003069343198,,,"VT2 - T Shop mobile","VT2 - inter telecom","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 10:30:13"
38,,DO670508-00001,867003068201959,,,"VT2 - T Shop mobile","VT2 - inter telecom","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 10:30:13"
39,,DO670508-00001,867003069343099,,,"VT2 - T Shop mobile","VT2 - inter telecom","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 10:30:13"
40,,DO670508-00001,867003069342810,,,"VT2 - T Shop mobile","VT2 - inter telecom","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 10:30:13"
41,,DO670508-00002,860306074429390,,,"SVK - Phitsamai OA1","Catty Laos Virtual","Kerry-INEW SVK (Savanakhet)",,Admin,"2024-05-08 13:09:46"
42,,DO670508-00003,866654063625351,,,"KAM - Awen mobile1 Agent Shop","BLX - Win mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-08 15:37:39"
43,,DO670508-00004,868908069685654,,,"LNT - SP mobile","LNT - KK Mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-08 15:39:56"
44,,DO670508-00005,869355069706958,,,"VT1 - T&J Dongpalan","VT2 - INEW SamSung Agent Shop","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 15:41:40"
45,,DO670508-00005,869355069706974,,,"VT1 - T&J Dongpalan","VT2 - INEW SamSung Agent Shop","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 15:41:40"
46,,DO670508-00006,868051060451618,,,"VT1 - T&J Dongpalan","VT2 - INEW SamSung Agent Shop","Kerry-INEW (Vientiane)",,Admin,"2024-05-08 15:42:17"
47,,DO670508-00007,867003064644954,,,"BLX - PSC","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-08 15:43:46"
48,,DO670508-00007,869496062277819,,,"BLX - PSC","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-08 15:43:46"
49,,DO670508-00007,862780063594778,,,"BLX - PSC","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-08 15:43:46"
50,,DO670508-00008,869355069654711,,,"VT1 - LCC1 Dongpalan","VT1 - DDE Dongdok","WH - Stock OPPO (Mark)",,M20180315,"2024-05-08 16:47:01"
51,,DO670510-00001,868051060448218,"VT1 - nangnoy","VT1 - nangnoy","VT1 - nangnoy","VT1 - nangnoy","WH - Stock OPPO (Mark)",,M20180315,"2024-05-10 10:18:39"
52,IN670509-00013,DO670510-00002,868051060129032,"VT1 - Tata","VT1 - khun mobile ໂພນປາເປົ້າ","VT1 - Tata",,"WH - Stock OPPO (Mark)",,M20180315,"2024-05-10 10:31:14"
53,,DO670510-00003,867003069319099,"VT1 - L&A mobile","VT1 - PJ","VT1 - L&A mobile","VT1 - PJ","WH - Stock OPPO (Mark)",,M20180315,"2024-05-10 13:07:27"
54,,DO670510-00004,862780063704153,"LNT - SP mobile",LNT - Hongda electronic2,"LNT - SP mobile","LNT - SP mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-10 14:03:51"
55,,DO670510-00005,860716060162773,"VT1 - ATL1 Nongchan","VT3 - Win Samsung2 Agent Store",,,"WH - Stock OPPO (Mark)",,Admin,"2024-05-10 14:05:29"
56,IN670503-00092,DO670510-00006,863671064412517,"LNT - SP mobile","LNT - KP mobile1","LNT - SP mobile","LNT - SP mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-10 14:06:08"
57,IN670507-00004,DO670510-00007,867003068132477,"VT2 - INEW Center","VT2 - kplaza","VT2 - INEW SamSung Agent Shop","VT2 - INEW SamSung Agent Shop","Kerry-INEW (Vientiane)",,Admin,"2024-05-10 14:07:02"
58,,DO670510-00008,862774061945991,"BLX - Afang mobile Khamkert","BLX - Akhai mobile 1","BLX - Afang Mobile Nongpong","BLX - Akhai mobile 1","Kerry-Awen (Thakhaek)",,Admin,"2024-05-10 14:12:23"
59,,DO670510-00009,868051060126558,"VT1 - Call me1 Phornsinuan","VT2 - INEW Center","VT1 - Call me1 Phonesynuan","VT2 - INEW SamSung Agent Shop","Kerry-INEW (Vientiane)",,Admin,"2024-05-10 14:13:15"
60,,DO670510-00010,867003069331698,"BLX - A kung mobile","BLX - Awen mobile3","BLX - PSC","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-10 14:14:15"
61,,DO670510-00011,867003068196399,"CPS - Pakse mobile7","CPS - Jk mobile3 Agent Store","CPS - Pakse mobile7","CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)",,Admin,"2024-05-10 14:28:59"
62,IN670504-00112,DO670511-00001,865055069622999,"LNT - Noy mobile1 ຊຽງແລ້","LNT - SP mobile","LNT - Noy mobile Xienglea","LNT - SP mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-11 09:28:25"
63,IN670503-00091,DO670511-00002,863671064411733,"LNT - SP mobile","LNT - Aming mobile","LNT - SP mobile","LNT - Aming mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-11 09:29:16"
64,,DO670511-00003,866155066419875,"BLX - Awen mobile3","BLX - Nok mobile","KAM - Awen mobile1 Agent Shop","BLX - Nok mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:59"
65,,DO670511-00004,866155066419057,"BLX - Awen mobile3","BLX - Nok mobile","KAM - Awen mobile1 Agent Shop","BLX - Nok mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:59"
66,,DO670511-00005,866155066388237,"BLX - Awen mobile3","BLX - Somsak mobile","KAM - Awen mobile1 Agent Shop","BLX - Somsak mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:22"
67,,DO670511-00006,865947067757076,"BLX - Awen mobile3","BLX - Somsak mobile","KAM - Awen mobile1 Agent Shop","BLX - Somsak mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:22"
68,,DO670511-00007,866155066285938,"BLX - Awen mobile3","BLX - Somsak mobile","KAM - Awen mobile1 Agent Shop","BLX - Somsak mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:22"
69,,DO670511-00008,866155066285854,"BLX - Awen mobile3","BLX - Somsak mobile","KAM - Awen mobile1 Agent Shop","BLX - Somsak mobile","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:22"
70,IN670504-00133,DO670511-00009,863671064293875,"CPS - AG mobile1 ປາກເຊ","CPS - Jk mobile2","CPS - AG mobile1 Pakse","CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)",,Admin,"2024-05-11 13:05:14"
71,IN670504-00133,DO670511-00010,863671064293693,"CPS - AG mobile1 ປາກເຊ","CPS - Jk mobile2","CPS - AG mobile1 Pakse","CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)",,Admin,"2024-05-11 13:05:14"
72,,DO670511-00011,866654062429375,"BLX - Puom IT1 ຄຳເກີດ","BLX - Awen Mobile8","BLX - Poum IT","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:55"
73,,DO670511-00012,866654062439150,"BLX - Puom IT1 ຄຳເກີດ","BLX - Awen Mobile8","BLX - Poum IT","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-11 13:05:31"
74,,DO670511-00013,866155066363859,"SLV - Viet 92 mobile","SLV - JM mobile","SLV - Viet 92 mobile","SLV - JM mobile","Kerry-ABO (Salavan)",,Admin,"2024-05-11 15:05:14"
75,,DO670511-00014,866155066363511,"SLV - Viet 92 mobile","SLV - JM mobile","SLV - Viet 92 mobile","SLV - JM mobile","Kerry-ABO (Salavan)",,Admin,"2024-05-11 15:05:14"
76,,DO670511-00015,866155066364196,"SLV - Viet 92 mobile","SLV - JM mobile","SLV - Viet 92 mobile","SLV - JM mobile","Kerry-ABO (Salavan)",,Admin,"2024-05-11 15:05:14"
77,,DO670513-00001,867003069318794,"VT1 - L&A mobile","VT1 - PJ","VT1 - L&A mobile","VT1 - PJ","WH - Stock OPPO (Mark)",,M20180315,"2024-05-13 08:05:30"
78,,DO670513-00002,869355069652632,"VT1 - 63 Mobile","VT1 - Lida","VT1 - 63 Mobile","VT1 - Lida","WH - Stock OPPO (Mark)",,M20180315,"2024-05-13 08:05:00"
79,,DO670513-00003,868051060107079,"VT1 - 63 Mobile","VT1 - Lida","VT1 - 63 Mobile","VT1 - Lida","WH - Stock OPPO (Mark)",,M20180315,"2024-05-13 08:05:00"
80,,DO670513-00004,860306074500851,"BLX - Akhai mobile 1","BLX - Afang mobile Khamkert","BLX - Akhai mobile 1","BLX - Afang Mobile Nongpong","Kerry-Awen (Thakhaek)",,Admin,"2024-05-13 09:05:52"
81,,DO670513-00005,867003064478353,"BLX - Afuo mobile ຄຳເກີດ","BLX - Afuo ຈອມທອງ","BLX - Akhai mobile 1","BLX - Afou ViengThong","Kerry-Awen (Thakhaek)",,Admin,"2024-05-13 09:05:19"
82,,DO670513-00006,867003064456672,"BLX - Afuo mobile ຄຳເກີດ","BLX - Afuo ຈອມທອງ","BLX - Akhai mobile 1","BLX - Afou ViengThong","Kerry-Awen (Thakhaek)",,Admin,"2024-05-13 09:05:19"
83,IN670503-00034,DO670513-00007,862774061946072,"BLX - Akhai mobile 1","BLX - Afang mobile Khamkert","BLX - Akhai mobile 1","BLX - Afang Mobile Nongpong","Kerry-Awen (Thakhaek)",,Admin,"2024-05-13 09:05:00"
84,,DO670513-00008,860306074522855,"SVK - A Rong mobile","SVK - INEW Savan1 Agent Store","SVK - A Rong mobile","SVK - INEW Savan1 Agent Shop","Kerry-INEW SVK (Savanakhet)",,Admin,"2024-05-13 09:05:42"
85,,DO670513-00009,862211067127951,"LNT - SP mobile","LNT - Xiangkok mobile","LNT - SP mobile","LNT - Xiangkok mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-13 09:05:15"
86,,DO670513-00010,865055066180314,"LNT - SP mobile","LNT - Aping mobile ຫຼວງນ້ຳທາ","LNT - SP mobile","LNT - Aping mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-13 09:05:50"
87,IN670509-00013,DO670513-00011,867003068613732,"VT1 - Tata","VT1 - khun mobile ໂພນປາເປົ້າ","VT1 - Tata",,"WH - Stock OPPO (Mark)",,M20180315,"2024-05-13 16:05:55"
88,IN670509-00013,DO670513-00012,867003068585955,"VT1 - Tata","VT1 - khun mobile ໂພນປາເປົ້າ","VT1 - Tata",,"WH - Stock OPPO (Mark)",,M20180315,"2024-05-13 16:05:55"
89,IN670510-00011,DO670513-00013,867003068605878,"VT1 - 63 Mobile","VT1 - icare","VT1 - 63 Mobile","VT1 - icare","WH - Stock OPPO (Mark)",,M20180315,"2024-05-13 16:05:28"
90,IN670510-00011,DO670513-00014,867003067963294,"VT1 - 63 Mobile","VT1 - icare","VT1 - 63 Mobile","VT1 - icare","WH - Stock OPPO (Mark)",,M20180315,"2024-05-13 16:05:28"
91,IN670510-00011,DO670513-00015,867003069281257,"VT1 - 63 Mobile","VT1 - icare","VT1 - 63 Mobile","VT1 - icare","WH - Stock OPPO (Mark)",,M20180315,"2024-05-13 16:05:28"
92,IN670510-00011,DO670513-00016,863671064308772,"VT1 - 63 Mobile","VT1 - icare","VT1 - 63 Mobile","VT1 - icare","WH - Stock OPPO (Mark)",,M20180315,"2024-05-13 16:05:28"
93,IN670510-00011,DO670513-00017,863671064308434,"VT1 - 63 Mobile","VT1 - icare","VT1 - 63 Mobile","VT1 - icare","WH - Stock OPPO (Mark)",,M20180315,"2024-05-13 16:05:28"
94,IN670510-00011,DO670513-00018,867003069283873,"VT1 - 63 Mobile","VT1 - icare","VT1 - 63 Mobile","VT1 - icare","WH - Stock OPPO (Mark)",,M20180315,"2024-05-13 16:05:28"
95,IN670503-00025,DO670513-00019,863671064287232,"KAM - TK mobile","KAM - Awen mobile1 Agent Store","KAM - TK mobile","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-13 17:05:02"
96,,DO670513-00020,867003068352315,"KAM - DS mobile","KAM - Awen mobile1 Agent Store","KAM - DS mobile","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-13 17:05:06"
97,,DO670513-00021,867003069277552,"KAM - DS mobile","KAM - Awen mobile1 Agent Store","KAM - DS mobile","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-13 17:05:06"
98,,DO670513-00022,866654063454117,"KAM - DS mobile","KAM - Awen mobile1 Agent Store","KAM - DS mobile","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-13 17:05:06"
99,,DO670513-00023,866654063731498,"KAM - DS mobile","KAM - Awen mobile2","KAM - DS mobile","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-13 17:05:06"
100,,DO670513-00024,860306074516733,"KAM - DS mobile","KAM - Awen mobile1 Agent Store","KAM - DS mobile","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",,Admin,"2024-05-13 17:05:06"
101,,DO670513-00025,860306074661455,"BLX - Akhai mobile 1","BLX - Awen Mobile8","BLX - Akhai mobile 1","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)","N651 Approval No.：202405131207000032532",Admin,"2024-05-13 17:05:07"
102,,DO670513-00026,866654063735358,"CPS - Aling mobile3 ປາກຊ່ອງ","CPS - Jk mobile3 Agent Store","CPS - Aling mobile3 ParkSong","CPS - Jk mobile3 Agent Shop","Kerry-JK (Pakse)",,Admin,"2024-05-13 17:05:06"
103,IN670512-00007,DO670513-00027,867528072907670,"LNT - SP mobile","LNT - KK Mobile","LNT - SP mobile","LNT - KK Mobile","Kerry-A Yao (Loungnamtha)","N390 Approval No.：202405131549000535134",Admin,"2024-05-13 17:05:58"
104,,DO670514-00001,868051060289794,"VT1 - ZiVa mobile","VT1 - AJia Mobile","VT1 - ZiVa mobile","VT1 - AJia Mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-05-14 14:05:21"
105,,DO670514-00002,868051060287731,"VT1 - ZiVa mobile","VT1 - AJia Mobile","VT1 - ZiVa mobile","VT1 - AJia Mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-05-14 14:05:21"
106,,DO670514-00003,862774061523897,"VT1 - ZiVa mobile","VT1 - AJia Mobile","VT1 - ZiVa mobile","VT1 - AJia Mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-05-14 14:05:21"
107,,DO670514-00004,866654063729294,"VT1 - LT ໜອງຈັນ","VT1 - LT ໜອງຈັນ","VT1 - LT Nongchan","VT1 - LT Nongchan","WH - Stock OPPO (Mark)",,M20180315,"2024-05-14 14:05:26"
108,,DO670514-00005,865055066171339,"PSL - Congbin4","PSL - JW Mobile4","PSL - Congbin1 Bounenum","PSL - JW mobile Agent Shop","Kerry-JW (Phonsaly)",s,Admin,"2024-05-14 15:05:42"
109,,DO670514-00006,867003068245071,"XKH - Kong mobile","XKH - Ahua Mobile1 Agent Shop","XKH - Kong mobile","XKH - Ahua Mobile1 Agent Shop","Kerry-A Hua (Xiengkhuang)",s,Admin,"2024-05-14 15:05:58"
110,IN670507-00049,DO670514-00007,866654063446972,"VT3 - KM mobile","VT3 - Win Samsung2 Agent Store","VT3 - V.T Mobile1","VT3 - Win Samsung 2 Agent Shop","Kerry-Win (Vientiane)",s,Admin,"2024-05-14 15:05:10"
111,,DO670514-00008,866654063729294,"VT1 - nangnoy","VT1 - LT ໜອງຈັນ","VT1 - nangnoy","VT1 - LT Nongchan","WH - Stock OPPO (Mark)",,M20180315,"2024-05-14 15:05:14"
112,,DO670514-00009,867003068119656,"VT1 - ZiVa mobile","VT1 - LJH (Aping)","VT1 - ZiVa mobile","VT1 - LJH (Aping)","WH - Stock OPPO (Mark)",,M20180315,"2024-05-14 15:05:26"
113,,DO670515-00001,867003068240858,"VT1 - L&A mobile","VT1 - ComCom Mobile","VT1 - L&A mobile","VT1 - ComCom Mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-05-15 13:05:58"
114,,DO670515-00002,867003068240254,"VT1 - L&A mobile","VT1 - ComCom Mobile","VT1 - L&A mobile","VT1 - ComCom Mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-05-15 13:05:58"
115,,DO670515-00003,863178064329493,"VT1 - L&A mobile","VT1 - ComCom Mobile","VT1 - L&A mobile","VT1 - ComCom Mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-05-15 13:05:58"
116,,DO670515-00004,867003065493419,"VT1 - L&A mobile","VT1 - ComCom Mobile","VT1 - L&A mobile","VT1 - ComCom Mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-05-15 13:05:58"
117,IN670511-00069,DO670515-00005,867993074497957,"VT1 - SCV mobile","VT1 - A Yang Mobile Xaisavang",,"VT1 - A Yang Xaysavarng","WH - Stock OPPO (Mark)",,M20180315,"2024-05-15 13:05:41"
118,,DO670515-00006,866155066951075,"VT1 - ZiVa mobile","VT1 - HuiHui Mobile2 Dongkhamxang","VT1 - ZiVa mobile","VT1 - HuiHui modile1 Nongphasy","WH - Stock OPPO (Mark)",,M20180315,"2024-05-15 15:05:52"
119,,DO670515-00007,869355069652632,"VT1 - Saiy mobile ຄຳສະຫວາດ","VT1 - 63 Mobile","VT1 - Saiy mobile","VT1 - 63 Mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-05-15 15:05:20"
120,,DO670515-00008,868051060442559,"VT1 - Saiy mobile ຄຳສະຫວາດ","VT1 - 63 Mobile","VT1 - Saiy mobile","VT1 - 63 Mobile","WH - Stock OPPO (Mark)",,M20180315,"2024-05-15 15:05:20"
121,,DO670516-00001,865055069470175,"XKH - Vanhkham mobile1","XKH - Ahua Mobile1 Agent Shop","XKH - Vanhkham mobile","XKH - Ahua Mobile1 Agent Shop","Kerry-A Hua (Xiengkhuang)","N2550 Approval No.：202405141513000198585",Admin,"2024-05-16 11:05:13"
122,,DO670516-00002,867003065763738,"LNT - SP mobile","LNT - Aping mobile ຫຼວງນ້ຳທາ","LNT - SP mobile","LNT - Aping mobile","Kerry-A Yao (Loungnamtha)",,Admin,"2024-05-16 11:05:54"
123,IN670513-00234,DO670516-00003,863671065064812,"LNT - Aping mobile ຫຼວງນ້ຳທາ","LNT - SP mobile","LNT - Aping mobile","LNT - SP mobile","Kerry-A Yao (Loungnamtha)",s,Admin,"2024-05-16 16:05:33"
124,IN670513-00114,DO670516-00004,867993074471218,"KAM - Awen mobile1 Agent Store","BLX - Awen Mobile8","KAM - Awen mobile1 Agent Shop","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",s,Admin,"2024-05-16 16:05:24"
125,IN670503-00025,DO670516-00005,863671064287216,"KAM - TK mobile","KAM - Awen mobile1 Agent Store","KAM - TK mobile","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",s,Admin,"2024-05-16 16:05:14"
126,IN670503-00025,DO670516-00006,863671064287133,"KAM - TK mobile","KAM - Awen mobile1 Agent Store","KAM - TK mobile","KAM - Awen mobile1 Agent Shop","Kerry-Awen (Thakhaek)",s,Admin,"2024-05-16 16:05:14"
127,IN670513-00241,DO670516-00007,865055069480679,"ATP - Ayou mobile 1","ATP - Ata mobile1 Agent Store","ATP - Ayou mobile 1","ATP - Ata mobile1 Agent Shop","Kerry-ATA (Attapue)",s,Admin,"2024-05-16 16:05:04"
128,IN670515-00057,DO670516-00008,867003065576593,"ATP - Ayou mobile 1","ATP - Dai mobile1","ATP - Ayou mobile 1","ATP - Dai mobile","Kerry-ATA (Attapue)",s,Admin,"2024-05-16 16:05:41"
129,IN670515-00057,DO670516-00009,867003065576593,"ATP - Ayou mobile 1","ATP - Ayou mobile 1","ATP - Ayou mobile 1","ATP - Ayou mobile 1","Kerry-ATA (Attapue)",s,Admin,"2024-05-16 16:05:23"
130,IN670513-00241,DO670516-00010,865055069480679,"ATP - Ayou mobile 1","ATP - Ayou mobile 1","ATP - Ayou mobile 1","ATP - Ayou mobile 1","Kerry-ATA (Attapue)",s,Admin,"2024-05-16 16:05:29"
131,IN670513-00212,DO670516-00011,867528073171011,"BLX - Afang mobile Khamkert","BLX - Akhai mobile 1","BLX - Afang Mobile Nongpong","BLX - Akhai mobile 1","Kerry-Awen (Thakhaek)",s,Admin,"2024-05-16 16:05:21"
132,IN670512-00010,DO670516-00012,867993074471333,"XKH - Ahua Mobile1 Agent Shop","XKH - YH mobile","XKH - Ahua Mobile1 Agent Shop","XKH - YH mobile","Kerry-A Hua (Xiengkhuang)",s,Admin,"2024-05-16 16:05:03"
