Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,170,170,0,0,0,0,0,0,0,0,170,170,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",150,0,967,1117,0,0,0,0,0,0,0,0,967,1117,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,43,43,0,0,0,0,0,0,0,0,43,43,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,103,103,0,0,0,0,0,0,0,0,103,103,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,230,230,0,0,0,0,0,0,0,0,230,230,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,316,316,0,0,0,0,0,0,0,0,316,316,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,53,53,0,0,0,0,0,0,0,0,53,53,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,566,566,0,0,0,0,0,0,0,0,566,566,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1135,1135,0,0,0,0,0,0,0,0,1135,1135,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,304,304,0,0,0,0,0,0,0,0,304,304,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,295,295,0,0,1,1,0,0,0,0,296,296,0
