Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A16(4+64G)","Pearl Blue",Phone,A16(4+64G),0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17K (3+64G)",Blue,Phone,"A17K (3+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17K (3+64G)",Gold,Phone,"A17K (3+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17K (3+64G)","Navy Blue",Phone,"A17K (3+64G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",9,0,544,553,0,0,0,0,0,0,0,0,544,553,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",4,0,532,536,0,0,0,0,0,0,0,0,532,536,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,571,571,0,0,2,2,0,0,0,0,573,573,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",3,0,627,630,0,0,16,16,0,0,0,0,643,646,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,1104,1104,0,0,0,0,0,0,0,0,1104,1104,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",85,0,636,721,0,0,0,0,0,0,0,0,636,721,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",2,0,96,98,0,0,0,0,0,0,0,0,96,98,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,105,105,0,0,0,0,0,0,0,0,105,105,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,330,330,0,0,0,0,0,0,0,0,330,330,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",1,0,529,530,0,0,0,0,0,0,0,0,529,530,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,155,155,0,0,0,0,0,0,0,0,155,155,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,54,54,0,0,0,0,0,0,0,0,54,54,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",15,0,43,58,0,0,0,0,0,0,0,0,43,58,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",8,0,8,16,0,0,0,0,0,0,0,0,8,16,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",8,0,7,15,0,0,0,0,0,0,0,0,7,15,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,553,553,0,0,0,0,0,0,0,0,553,553,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1141,1141,0,0,0,0,0,0,0,0,1141,1141,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,231,231,0,0,0,0,0,0,0,0,231,231,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,395,395,0,0,0,0,0,0,0,0,395,395,0
"OPPO Reno 8 4G (8+256G)","Starlight Black",Phone,"Reno 8 4G (8+256G)",0,0,0,0,0,0,11,11,0,0,0,0,11,11,0
