Agency,Office,"Affiliated Distributor","Warehouse name",Leader,"Leader Tel.","Warehouse Address","Warehouse Type",Marketable,"AD Warehouse","Shipper Address","Shipper Name","Shipper Tel.",Company(Ship-From),"Shipment Remark",Level,"Tax name","Delegate depot name","Participation in Statement Statistics",Status,"Finance client name","External Code","store attribute",Country,Location
"OPPO LAOS","OPPO LAOS",,"OPPO LAOS Mobile","OPPO LAOS",021228789,"ບ້ານ ໜອງຈັນ ເມືອງ ສິສັດຕະນາກ ເເຂວງ ນະຄອນຫຼວງວຽງຈັນ","OPPO Warehouse",True,,,,,,,First-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"OPPO LAOS / OPPO LAOS"
C4,C4-Sekong,,"Kerry-ST (Sekong)",ອິດສະດາພອນ,02094333261,"ບ້ານທ່າແຕງເໜືອ ເມືອງທ່າແຕງ ແຊວງເຊກອງ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"C4 / C4-Sekong"
B4,B4-Xaiyabouly,,"Kerry-Siam (Xaiyabouli)",wubaoxing,02094199999,"ບ້ານສີມຸງຄຸນ ເມືອງໄຊຍະບູລີ ເເຂວງໄຊຍະບູລີ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"B4 / B4-Xaiyabouly"
B2,B2-Bokeo,,"Kerry-LH (Bokeo)","LIU HAI",02055566683,"ບ້ານປ່າອ້ອຍ ເມືອງຫ້ວຍຊາຍ  ເເຂວງບໍ່ແກ້ວ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"B2 / B2-Bokeo"
C3,C3-Champasak,,"Kerry-JK (Pakse)",ອາຈາວ,02098991223,"ບ້ານແກ້ວສຳພັນ ເມືອງປາກເຊ ແຂວງຈຳປາສັກ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"C3 / C3-Champasak"
B1,B1-Phongsaly,,"Kerry-JW (Phonsaly)",ຈາວັງ,02099121222,"ບ້ານວັງໄຮ  ເມືອງໄຊ  ເເຂວງອຸດົມໄຊ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"B1 / B1-Phongsaly"
C2,C2-Savannakhet,,"Kerry-INEW SVK (Savanakhet)",Koukkai,02097993199,"ບ້ານຫົວເມືອງໃຕ້  ເມືອງໄກສອນ  ເເຂວງສະຫວັນນະເຂດ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"C2 / C2-Savannakhet"
A2,A2-Vientiane2,,"Kerry-INEW (Vientiane)","A Jion",0305569666,"ບ້ານໜອງຈັນ ເມືອງສີສັດຕະນາກ  ນະຄອນຫຼວງວຽງຈັນ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"A2 / A2-Vientiane2"
A3,A3-Vientiane3,,"Kerry-Win (Vientiane)","A kai",0305949998,"ບ້ານໜອງຈັນ  ເມືອງສີສັດຕະນາກ ນະຄອນຫຼວງວຽງຈັນ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"A3 / A3-Vientiane3"
B3,B3-Xiengkhuang,,"Kerry-A Hua (Xiengkhuang)",ahua,02023525666,"ບ້ານສີບຸນເຮືອງ  ເມືອງທ່າໂທມ ເເຂວງຊຽງຂວາງ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"B3 / B3-Xiengkhuang"
C4,C4-Salavan,,"Kerry-ABO (Salavan)",Abo,02054463888,"ບ້ານນາກົກໂພ ເມືອງສາລະວັນ ເເຂວງສາລະວັນ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"C4 / C4-Salavan"
B3,B3-Huaphan,,"Kerry - A Lei (Huaphan)","A Lei",02022342235,"ບ້ານນາທົ່ງຈອງ ເມືອງຊຳເໜືອ ແຂວງຫົວພັນ","OPPO Warehouse",True,,,,,,,Second-tier,,,,"In Cooperation",,,"Private Warehouse",LAOS,"B3 / B3-Huaphan"
