Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",4,0,623,627,0,0,0,0,0,0,0,0,623,627,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",2,0,806,808,0,0,0,0,0,0,0,0,806,808,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",4,0,66,70,0,0,0,0,0,0,0,0,66,70,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",82,0,592,674,0,0,0,0,0,0,0,0,592,674,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",1,0,272,273,0,0,0,0,0,0,0,0,272,273,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,212,212,0,0,0,0,0,0,0,0,212,212,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,474,474,0,0,0,0,0,0,0,0,474,474,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,263,263,0,0,0,0,0,0,0,0,263,263,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,574,574,0,0,0,0,0,0,0,0,574,574,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,198,198,0,0,0,0,0,0,0,0,198,198,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",5,0,71,76,0,0,0,0,0,0,0,0,71,76,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,84,84,0,0,0,0,0,0,0,0,84,84,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,592,592,0,0,0,0,0,0,0,0,592,592,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1224,1224,0,0,0,0,0,0,0,0,1224,1224,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,337,337,0,0,0,0,0,0,0,0,337,337,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,336,336,0,0,1,1,0,0,0,0,337,337,0
