Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,205,205,0,0,0,0,0,0,0,0,205,205,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",1,0,211,212,0,0,0,0,0,0,0,0,211,212,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",1,0,242,243,0,0,0,0,0,0,0,0,242,243,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,325,325,0,0,0,0,0,0,0,0,325,325,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,1139,1139,0,0,0,0,0,0,0,0,1139,1139,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",2,0,8,10,0,0,0,0,0,0,0,0,8,10,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,230,230,0,0,0,0,0,0,0,0,230,230,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,468,468,0,0,0,0,0,0,0,0,468,468,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,539,539,0,0,0,0,0,0,0,0,539,539,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1122,1122,0,0,0,0,0,0,0,0,1122,1122,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,273,273,0,0,0,0,0,0,0,0,273,273,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,316,316,0,0,0,0,0,0,0,0,316,316,0
