Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,344,344,0,0,0,0,0,0,0,0,344,344,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,28,28,0,0,0,0,0,0,0,0,28,28,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,193,193,0,0,0,0,0,0,0,0,193,193,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,923,923,0,0,0,0,0,0,0,0,923,923,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,97,97,0,0,0,0,0,0,0,0,97,97,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,83,83,0,0,0,0,0,0,0,0,83,83,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,211,211,0,0,0,0,0,0,0,0,211,211,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,407,407,0,0,0,0,0,0,0,0,407,407,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,523,523,0,0,0,0,0,0,0,0,523,523,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1102,1102,0,0,0,0,0,0,0,0,1102,1102,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,267,267,0,0,0,0,0,0,0,0,267,267,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,312,312,0,0,0,0,0,0,0,0,312,312,0
