Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",10,0,323,333,0,0,0,0,0,0,0,0,323,333,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",1,0,1,2,0,0,0,0,0,0,0,0,1,2,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,169,169,0,0,0,0,0,0,0,0,169,169,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",2,0,859,861,0,0,0,0,0,0,0,0,859,861,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",3,0,82,85,0,0,0,0,0,0,0,0,82,85,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",6,0,68,74,0,0,0,0,0,0,0,0,68,74,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",1,0,192,193,0,0,0,0,0,0,0,0,192,193,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",3,0,384,387,0,0,0,0,0,0,0,0,384,387,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",0,0,0,0,1,0,-1,0,0,0,0,0,-1,0,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",2,0,20,22,0,0,0,0,0,0,0,0,20,22,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",1,0,16,17,0,0,0,0,0,0,0,0,16,17,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,521,521,0,0,0,0,0,0,0,0,521,521,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1099,1099,0,0,0,0,0,0,0,0,1099,1099,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",1,0,265,266,0,0,0,0,0,0,0,0,265,266,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",1,0,310,311,0,0,0,0,0,0,0,0,310,311,0
