Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",18,0,0,18,0,0,0,0,0,0,0,0,0,18,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",6,0,135,141,0,0,0,0,0,0,0,0,135,141,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,523,523,0,0,0,0,0,0,0,0,523,523,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,96,96,0,0,0,0,0,0,0,0,96,96,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,33,33,0,0,0,0,0,0,0,0,33,33,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,248,248,0,0,0,0,0,0,0,0,248,248,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,291,291,0,0,0,0,0,0,0,0,291,291,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,162,162,0,0,0,0,0,0,0,0,162,162,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,300,300,0,0,0,0,0,0,0,0,300,300,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,498,498,0,0,0,0,0,0,0,0,498,498,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1073,1073,0,0,0,0,0,0,0,0,1073,1073,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,233,233,0,0,0,0,0,0,0,0,233,233,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,304,304,0,0,0,0,0,0,0,0,304,304,0
