Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,353,353,0,0,0,0,0,0,0,0,353,353,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,38,38,0,0,0,0,0,0,0,0,38,38,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,219,219,0,0,0,0,0,0,0,0,219,219,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,726,726,0,0,0,0,0,0,0,0,726,726,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,114,114,0,0,0,0,0,0,0,0,114,114,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,128,128,0,0,0,0,0,0,0,0,128,128,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Pad Neo (8+256G)","Aurora Purple",IoT,"Pad Neo (8+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,477,477,0,0,0,0,0,0,0,0,477,477,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1040,1040,0,0,0,0,0,0,0,0,1040,1040,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,196,196,0,0,0,0,0,0,0,0,196,196,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,282,282,0,0,0,0,0,0,0,0,282,282,0
