Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",2,0,253,255,0,0,0,0,0,0,0,0,253,255,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",1,0,8,9,0,0,0,0,0,0,0,0,8,9,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,197,197,0,0,0,0,0,0,0,0,197,197,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,235,235,0,0,0,0,0,0,0,0,235,235,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,121,121,0,0,0,0,0,0,0,0,121,121,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,875,875,0,0,0,0,0,0,0,0,875,875,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,453,453,0,0,0,0,0,0,0,0,453,453,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,1729,1729,0,0,0,0,0,0,0,0,1729,1729,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,128,128,0,0,0,0,0,0,0,0,128,128,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,107,107,0,0,0,0,0,0,0,0,107,107,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,391,391,0,0,0,0,0,0,0,0,391,391,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,856,856,0,0,0,0,0,0,0,0,856,856,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,75,75,0,0,0,0,0,0,0,0,75,75,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,207,207,0,0,0,0,0,0,0,0,207,207,0
