Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,219,219,0,0,0,0,0,0,0,0,219,219,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,207,207,0,0,0,0,0,0,0,0,207,207,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,84,84,0,0,0,0,0,0,0,0,84,84,0
"OPPO A3 (8+256G)","Sparkle Black",Phone,"A3 (8+256G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,185,185,0,0,0,0,0,0,0,0,185,185,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,745,745,0,0,0,0,0,0,0,0,745,745,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,88,88,0,0,0,0,0,0,0,0,88,88,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,170,170,0,0,0,0,0,0,0,0,170,170,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",10,0,323,333,0,0,0,0,0,0,0,0,323,333,0
"OPPO Enco Buds2 Pro","Granite White",IoT,"Enco Buds2 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,137,137,0,0,0,0,0,0,0,0,137,137,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,342,342,0,0,0,0,0,0,0,0,342,342,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,46,46,0,0,0,0,0,0,0,0,46,46,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,145,145,0,0,0,0,0,0,0,0,145,145,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,115,115,0,0,1,1,0,0,0,0,116,116,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,33,33,0,0,0,0,0,0,0,0,33,33,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",1,0,27,28,0,0,0,0,0,0,0,0,27,28,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",5,0,258,263,0,0,0,0,0,0,0,0,258,263,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",10,0,220,230,0,0,1,1,0,0,0,0,221,231,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
