Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,197,197,0,0,0,0,0,0,0,0,197,197,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,178,178,0,0,0,0,0,0,0,0,178,178,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,64,64,0,0,0,0,0,0,0,0,64,64,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",3,0,158,161,0,0,0,0,0,0,0,0,158,161,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",7,0,655,662,0,0,0,0,0,0,0,0,655,662,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,55,55,0,0,0,0,0,0,0,0,55,55,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,80,80,0,0,0,0,0,0,0,0,80,80,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,298,298,0,0,0,0,0,0,0,0,298,298,0
"OPPO Enco Buds2 Pro","Granite White",IoT,"Enco Buds2 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,130,130,0,0,0,0,0,0,0,0,130,130,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,332,332,0,0,0,0,0,0,0,0,332,332,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,121,121,0,0,0,0,0,0,0,0,121,121,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,98,98,0,0,1,1,0,0,0,0,99,99,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,31,31,0,0,0,0,0,0,0,0,31,31,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,21,21,0,0,0,0,0,0,0,0,21,21,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,229,229,0,0,0,0,0,0,0,0,229,229,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,140,140,0,0,1,1,0,0,0,0,141,141,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
