Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",1,0,186,187,0,0,0,0,0,0,0,0,186,187,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",1,0,174,175,0,0,0,0,0,0,0,0,174,175,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,34,34,0,0,0,0,0,0,0,0,34,34,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",3,0,150,153,0,0,0,0,0,0,0,0,150,153,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",12,0,549,561,0,0,0,0,0,0,0,0,549,561,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",4,0,35,39,0,0,0,0,0,0,0,0,35,39,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",16,0,36,52,0,0,0,0,0,0,0,0,36,52,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",1,0,12,13,0,0,0,0,0,0,0,0,12,13,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",7,0,132,139,0,0,0,0,0,0,0,0,132,139,0
"OPPO Enco Buds2 Pro","Granite White",IoT,"Enco Buds2 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,130,130,0,0,0,0,0,0,0,0,130,130,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,319,319,0,0,0,0,0,0,0,0,319,319,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,108,108,0,0,0,0,0,0,0,0,108,108,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,86,86,0,0,1,1,0,0,0,0,87,87,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,31,31,0,0,0,0,0,0,0,0,31,31,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,211,211,0,0,0,0,0,0,0,0,211,211,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,120,120,0,0,1,1,0,0,0,0,121,121,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
