Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,116,116,0,0,0,0,0,0,0,0,116,116,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,85,85,0,0,0,0,0,0,0,0,85,85,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",2,0,236,238,0,0,0,0,0,0,0,0,236,238,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",4,0,717,721,0,0,0,0,0,0,0,0,717,721,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",1,0,80,81,0,0,0,0,0,0,0,0,80,81,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,110,110,0,0,0,0,0,0,0,0,110,110,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,58,58,0,0,0,0,0,0,0,0,58,58,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,125,125,0,0,0,0,0,0,0,0,125,125,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,312,312,0,0,0,0,0,0,0,0,312,312,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,88,88,0,0,0,0,0,0,0,0,88,88,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,54,54,0,0,1,1,0,0,0,0,55,55,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,168,168,0,0,0,0,0,0,0,0,168,168,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,91,91,0,0,1,1,0,0,0,0,92,92,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
