Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A16(4+64G)","Pearl Blue",Phone,A16(4+64G),0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17K (3+64G)",Blue,Phone,"A17K (3+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17K (3+64G)",Gold,Phone,"A17K (3+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17K (3+64G)","Navy Blue",Phone,"A17K (3+64G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,114,114,0,0,0,0,0,0,0,0,114,114,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,21,21,0,0,0,0,0,0,0,0,21,21,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,138,138,0,0,0,0,0,0,0,0,138,138,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",1,0,134,135,0,0,6,6,0,0,0,0,140,141,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",2,0,767,769,0,0,0,0,0,0,0,0,767,769,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,1680,1680,0,0,0,0,0,0,0,0,1680,1680,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",2,0,1412,1414,0,0,0,0,0,0,0,0,1412,1414,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",6,0,3764,3770,0,0,0,0,0,0,0,0,3764,3770,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",2,0,454,456,0,0,0,0,0,0,0,0,454,456,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,706,706,0,0,0,0,0,0,0,0,706,706,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Find X8 (16+512G)","Space Black",Phone,"Find X8 (16+512G)",0,0,24,24,0,0,0,0,0,0,0,0,24,24,0
"OPPO Find X8 Pro (16+512G)","Pearl White",Phone,"Find X8 Pro (16+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",12,0,52,64,0,0,0,0,0,0,0,0,52,64,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,389,389,0,0,0,0,0,0,0,0,389,389,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",1,0,820,821,0,0,0,0,0,0,0,0,820,821,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,54,54,0,0,0,0,0,0,0,0,54,54,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,257,257,0,0,0,0,0,0,0,0,257,257,0
"OPPO Reno 8 4G (8+256G)","Starlight Black",Phone,"Reno 8 4G (8+256G)",0,0,0,0,0,0,11,11,0,0,0,0,11,11,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",2,0,3,5,0,0,0,0,0,0,0,0,3,5,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",2,0,3,5,0,0,0,0,0,0,0,0,3,5,0
