Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A16(4+64G)","Pearl Blue",Phone,A16(4+64G),0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17 (4+64G)","Lake Blue",Phone,"A17 (4+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17 (4+64G)","Midnight Black",Phone,"A17 (4+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17K (3+64G)",Blue,Phone,"A17K (3+64G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO A17K (3+64G)",Gold,Phone,"A17K (3+64G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO A17K (3+64G)","Navy Blue",Phone,"A17K (3+64G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,24,24,0,0,0,0,0,0,0,0,24,24,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,32,32,0,0,0,0,0,0,0,0,32,32,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,298,298,0,0,0,0,0,0,0,0,298,298,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",3,0,527,530,0,0,0,0,0,0,0,0,527,530,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",5,0,475,480,0,0,0,0,0,0,0,0,475,480,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO A38(4+128G)","Glowing Black",Phone,A38(4+128G),0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO A38(4+128G)","Glowing Gold",Phone,A38(4+128G),0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,584,584,0,0,0,0,0,0,0,0,584,584,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,204,204,0,0,0,0,0,0,0,0,204,204,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,174,174,0,0,0,0,0,0,0,0,174,174,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,415,415,0,0,0,0,0,0,0,0,415,415,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",1,0,687,688,0,0,0,0,0,0,0,0,687,688,0
"OPPO A58 (8+128G)","Glowing Black",Phone,"A58 (8+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A58(6+128G)","Dazzling Green",Phone,A58(6+128G),0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A58(6+128G)","Glowing Black",Phone,A58(6+128G),0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,39,39,0,0,0,0,0,0,0,0,39,39,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",1,0,196,197,0,0,0,0,0,0,0,0,196,197,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",1,0,138,139,0,0,0,0,0,0,0,0,138,139,0
"OPPO A77s (8+128G)","Starry Black",Phone,"A77s (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A78  4G(8+256G)","Aqua Green",Phone,"A78  4G(8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A78  4G(8+256G)","Mist Black",Phone,"A78  4G(8+256G)",0,0,1,1,0,0,1,1,0,0,0,0,2,2,0
"OPPO A79 5G(4+128G)","Mystery Black",Phone,"A79 5G(4+128G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO A98 5G(8+256G)","Cool Black",Phone,"A98 5G(8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A98 5G(8+256G)","Dreamy Blue",Phone,"A98 5G(8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Find N3 (16+512G)","Classic Black",Phone,"Find N3 (16+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Find N3 Flip (12+256G)","Cream Gold",Phone,"Find N3 Flip (12+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Pad Neo (8+256G)","Aurora Purple",IoT,"Pad Neo (8+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 10 (8+256G)","Ice Blue",Phone,"Reno 10 (8+256G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 10 (8+256G)","Silvery Grey",Phone,"Reno 10 (8+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 10 PRO (12G+256G)","Glossy Purple",Phone,"Reno 10 PRO (12G+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 10 PRO (12G+256G)","Silvery Grey",Phone,"Reno 10 PRO (12G+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,14,14,0,0,0,0,0,0,0,0,14,14,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
