Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A16(4+64G)","Pearl Blue",Phone,A16(4+64G),0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17K (3+64G)",Blue,Phone,"A17K (3+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17K (3+64G)",Gold,Phone,"A17K (3+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17K (3+64G)","Navy Blue",Phone,"A17K (3+64G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,43,43,0,0,0,0,0,0,0,0,43,43,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",2,0,496,498,0,0,0,0,0,0,0,0,496,498,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",1,0,528,529,0,0,0,0,0,0,0,0,528,529,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,244,244,0,0,0,0,0,0,0,0,244,244,0
"OPPO A3 (8+256G)","Sparkle Black",Phone,"A3 (8+256G)",0,0,311,311,0,0,0,0,0,0,0,0,311,311,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",34,0,469,503,0,0,0,0,0,0,0,0,469,503,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",7,0,1267,1274,0,0,0,0,0,0,0,0,1267,1274,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,446,446,0,0,0,0,0,0,0,0,446,446,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",95,0,1472,1567,0,0,0,0,0,0,0,0,1472,1567,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",40,0,434,474,0,0,0,0,0,0,0,0,434,474,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",2,0,549,551,0,0,0,0,0,0,0,0,549,551,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Enco Buds2 Pro","Granite White",IoT,"Enco Buds2 Pro",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO Find X8 (16+512G)","Space Black",Phone,"Find X8 (16+512G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
