Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,200,200,0,0,0,0,0,0,0,0,200,200,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,56,56,0,0,0,0,0,0,0,0,56,56,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,49,49,0,0,0,0,0,0,0,0,49,49,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,113,113,0,0,0,0,0,0,0,0,113,113,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,13,13,0,0,0,0,0,0,0,0,13,13,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
