Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A12(3+32)",Black,Phone,A12(3+32),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A12(3+32)",Blue,Phone,A12(3+32),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A12(3+32)","Deep Blue",Phone,A12(3+32),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A12(3+32)",Silver,Phone,A12(3+32),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A12(4+64)",Black,Phone,A12(4+64),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A12(4+64)",Blue,Phone,A12(4+64),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A15 New(3+32)","Dark Black",Phone,"A15 New(3+32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A15 New(3+32)","Dynamic black",Phone,"A15 New(3+32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A15 New(3+32)",Silver,Phone,"A15 New(3+32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A15(3+32)",Black,Phone,A15(3+32),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A15(3+32)",White,Phone,A15(3+32),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A15s",Black,Phone,A15s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A15s",Blue,Phone,A15s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A16(4+64G)","Pearl Blue",Phone,A16(4+64G),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A16(4+64G)","Space Silver",Phone,A16(4+64G),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A16K (3+32G)",Black,Phone,"A16K (3+32G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A16K (3+32G)",Blue,Phone,"A16K (3+32G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A16K (3+32G)","Midnight Black",Phone,"A16K (3+32G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A17 (4+64G)","Lake Blue",Phone,"A17 (4+64G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A17 (4+64G)","Midnight Black",Phone,"A17 (4+64G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A17K (3+64G)",Blue,Phone,"A17K (3+64G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A17K (3+64G)",Gold,Phone,"A17K (3+64G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A17K (3+64G)","Navy Blue",Phone,"A17K (3+64G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A1K",Black,Phone,A1K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A1K",Red,Phone,A1K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A31(4+128)",Black,Phone,A31(4+128),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A31(4+128)",Red,Phone,A31(4+128),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A31(4+128)",White,Phone,A31(4+128),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A31(6+128)",Black,Phone,A31(6+128),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A31(6+128)",White,Phone,A31(6+128),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A37 fw",Gold,Phone,"A37 fw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPO A38(4+128G)","Glowing Black",Phone,A38(4+128G),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
