Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",1,0,129,130,0,0,0,0,0,0,0,0,129,130,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",70,0,209,279,0,0,0,0,0,0,0,0,209,279,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",102,0,498,600,0,0,0,0,0,0,0,0,498,600,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",1,0,25,26,0,0,0,0,0,0,0,0,25,26,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",10,0,120,130,0,0,0,0,0,0,0,0,120,130,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",17,0,169,186,0,0,0,0,0,0,0,0,169,186,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,158,158,0,0,0,0,0,0,0,0,158,158,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,101,101,0,0,0,0,0,0,0,0,101,101,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,428,428,0,0,0,0,0,0,0,0,428,428,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,227,227,0,0,0,0,0,0,0,0,227,227,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,52,52,0,0,0,0,0,0,0,0,52,52,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,161,161,0,0,0,0,0,0,0,0,161,161,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 11Pro 5G (12+512G)","Rock Grey",Phone,"Reno 11Pro 5G (12+512G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
