Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",385,100,15,500,0,0,0,0,0,0,0,0,15,500,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",385,100,15,500,0,0,0,0,0,0,0,0,15,500,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",91,10,-1,100,0,0,0,0,0,0,0,0,-1,100,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",166,30,4,200,0,0,0,0,0,0,0,0,4,200,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",120,80,0,200,0,0,0,0,0,0,0,0,0,200,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",4,0,305,309,0,0,0,0,0,0,0,0,305,309,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",3,0,57,60,0,0,0,0,0,0,0,0,57,60,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
