Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",50,0,80,130,0,0,0,0,0,0,0,0,80,130,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",50,0,120,170,0,0,0,0,0,0,0,0,120,170,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",30,0,25,55,0,0,0,0,0,0,0,0,25,55,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",40,0,365,405,0,0,0,0,0,0,0,0,365,405,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,338,338,0,0,0,0,0,0,0,0,338,338,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,243,243,0,0,0,0,0,0,0,0,243,243,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 12 F (12+256G)","Olive Green",Phone,"Reno 12 F (12+256G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO Reno 12 F (12+256G)","Amber Orange",Phone,"Reno 12 F (12+256G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
