Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,47,47,0,0,0,0,0,0,0,0,47,47,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,240,240,0,0,0,0,0,0,0,0,240,240,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,158,158,0,0,0,0,0,0,0,0,158,158,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,363,363,0,0,0,0,0,0,0,0,363,363,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,1403,1403,0,0,0,0,0,0,0,0,1403,1403,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,110,110,0,0,0,0,0,0,0,0,110,110,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,446,446,0,0,0,0,0,0,0,0,446,446,0
"OPPO Find X8 (16+512G)","Star Grey",Phone,"Find X8 (16+512G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Find X8 (16+512G)","Space Black",Phone,"Find X8 (16+512G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Find X8 Pro (16+512G)","Pearl White",Phone,"Find X8 Pro (16+512G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Find X8 Pro (16+512G)","Space Black",Phone,"Find X8 Pro (16+512G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,380,380,0,0,0,0,0,0,0,0,380,380,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,916,916,0,0,0,0,0,0,0,0,916,916,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,105,105,0,0,0,0,0,0,0,0,105,105,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,196,196,0,0,0,0,0,0,0,0,196,196,0
