Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,114,114,0,0,0,0,0,0,0,0,114,114,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,159,159,0,0,0,0,0,0,0,0,159,159,0
"OPPO A3 (8+256G)","Sparkle Black",Phone,"A3 (8+256G)",0,0,75,75,0,0,0,0,0,0,0,0,75,75,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,465,465,0,0,0,0,0,0,0,0,465,465,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,925,925,0,0,0,0,0,0,0,0,925,925,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,323,323,0,0,0,0,0,0,0,0,323,323,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,940,940,0,0,0,0,0,0,0,0,940,940,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,513,513,0,0,0,0,0,0,0,0,513,513,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,830,830,0,0,0,0,0,0,0,0,830,830,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Enco Buds2 Pro","Granite White",IoT,"Enco Buds2 Pro",0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Find X8 (16+512G)","Space Black",Phone,"Find X8 (16+512G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",0,0,34,34,0,0,0,0,0,0,0,0,34,34,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,273,273,0,0,0,0,0,0,0,0,273,273,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,576,576,0,0,0,0,0,0,0,0,576,576,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,99,99,0,0,0,0,0,0,0,0,99,99,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
