Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",75,0,235,310,0,0,0,0,0,0,0,0,235,310,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",35,0,40,75,0,0,0,0,0,0,0,0,40,75,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",50,0,30,80,0,0,0,0,0,0,0,0,30,80,0
"OPPO A3 (8+256G)","Sparkle Black",Phone,"A3 (8+256G)",60,0,85,145,0,0,0,0,0,0,0,0,85,145,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",10,0,150,160,0,0,0,0,0,0,0,0,150,160,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",130,0,637,767,0,0,0,0,0,0,0,0,637,767,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",5,0,0,5,0,0,0,0,0,0,0,0,0,5,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",110,0,509,619,0,0,0,0,0,0,0,0,509,619,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,170,170,0,0,0,0,0,0,0,0,170,170,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",10,0,290,300,0,0,0,0,0,0,0,0,290,300,0
"OPPO Enco Buds2 Pro","Granite White",IoT,"Enco Buds2 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",25,0,164,189,0,0,0,0,0,0,0,0,164,189,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",35,0,422,457,0,0,0,0,0,0,0,0,422,457,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",5,0,62,67,0,0,0,0,0,0,0,0,62,67,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,323,323,9,0,32,41,0,0,0,0,355,364,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,218,218,6,0,20,26,0,0,0,0,238,244,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,107,107,0,0,0,0,0,0,0,0,107,107,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,106,106,0,0,0,0,0,0,0,0,106,106,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,699,699,0,0,0,0,0,0,0,0,699,699,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,499,499,0,0,0,0,0,0,0,0,499,499,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
