Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,14,14,0,0,0,0,0,0,0,0,14,14,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,33,33,0,0,0,0,0,0,0,0,33,33,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,35,35,0,0,0,0,0,0,0,0,35,35,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,51,51,0,0,0,0,0,0,0,0,51,51,0
"OPPO A5 Pro (8+128G)","Mocha Brown",Phone,"A5 Pro (8+128G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A5 Pro (8+128G)","Feather Blue",Phone,"A5 Pro (8+128G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Enco Buds2 Pro","Granite White",IoT,"Enco Buds2 Pro",0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
