Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,163,163,0,0,0,0,0,0,0,0,163,163,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,79,79,0,0,0,0,0,0,0,0,79,79,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,237,237,0,0,0,0,0,0,0,0,237,237,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,65,65,0,0,0,0,0,0,0,0,65,65,0
"OPPO A5 Pro (8+128G)","Mocha Brown",Phone,"A5 Pro (8+128G)",0,0,59,59,0,0,0,0,0,0,0,0,59,59,0
"OPPO A5 Pro (8+256G)","Feather Blue",Phone,"A5 Pro (8+256G)",0,0,77,77,0,0,0,0,0,0,0,0,77,77,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,14,14,0,0,0,0,0,0,0,0,14,14,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,23,23,0,0,0,0,0,0,0,0,23,23,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,35,35,0,0,0,0,0,0,0,0,35,35,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
