Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",345,0,355,700,0,0,0,0,0,0,0,0,355,700,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",850,0,150,1000,0,0,0,0,0,0,0,0,150,1000,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",190,0,810,1000,0,0,0,0,0,0,0,0,810,1000,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",285,0,215,500,0,0,0,0,0,0,0,0,215,500,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",285,0,215,500,0,0,0,0,0,0,0,0,215,500,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",395,0,405,800,0,0,0,0,0,0,0,0,405,800,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",395,0,405,800,0,0,0,0,0,0,0,0,405,800,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,490,490,0,0,0,0,0,0,0,0,490,490,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,323,323,0,0,0,0,0,0,0,0,323,323,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,43,43,0,0,0,0,0,0,0,0,43,43,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,224,224,0,0,0,0,0,0,0,0,224,224,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",59,0,41,100,0,0,0,0,0,0,0,0,41,100,0
"OPPO Reno 11Pro 5G (12+512G)","Rock Grey",Phone,"Reno 11Pro 5G (12+512G)",59,0,41,100,0,0,0,0,0,0,0,0,41,100,0
