Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,47,47,0,0,0,0,0,0,0,0,47,47,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A79 5G(4+128G)","Glowing Green",Phone,"A79 5G(4+128G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,52,52,0,0,0,0,0,0,0,0,52,52,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,55,55,0,0,0,0,0,0,0,0,55,55,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,1,18,19,0,0,0,0,0,0,0,0,18,19,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,68,68,0,0,0,0,0,0,0,0,68,68,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,56,56,0,0,0,0,0,0,0,0,56,56,0
