Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,100,100,0,0,0,0,0,0,0,0,100,100,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",50,0,115,165,0,0,0,0,0,0,0,0,115,165,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",50,0,125,175,0,0,0,0,0,0,0,0,125,175,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,77,77,0,0,0,0,0,0,0,0,77,77,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,84,84,0,0,0,0,0,0,0,0,84,84,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,228,228,0,0,0,0,0,0,0,0,228,228,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,227,227,0,0,0,0,0,0,0,0,227,227,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,490,490,0,0,0,0,0,0,0,0,490,490,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,323,323,0,0,0,0,0,0,0,0,323,323,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,43,43,0,0,0,0,0,0,0,0,43,43,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,224,224,0,0,0,0,0,0,0,0,224,224,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Reno 11Pro 5G (12+512G)","Rock Grey",Phone,"Reno 11Pro 5G (12+512G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
