Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,143,143,0,0,0,0,0,0,0,0,143,143,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,142,142,0,0,0,0,0,0,0,0,142,142,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,490,490,0,0,0,0,0,0,0,0,490,490,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,316,316,0,0,0,0,0,0,0,0,316,316,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,190,190,0,0,0,0,0,0,0,0,190,190,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO Reno 11Pro 5G (12+512G)","Rock Grey",Phone,"Reno 11Pro 5G (12+512G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
