Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",370,0,630,1000,0,0,0,0,0,0,0,0,630,1000,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",200,0,400,600,0,0,0,0,0,0,0,0,400,600,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",645,0,855,1500,0,0,0,0,0,0,0,0,855,1500,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",575,0,925,1500,0,0,0,0,0,0,0,0,925,1500,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",360,0,440,800,0,0,0,0,0,0,0,0,440,800,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",245,0,355,600,0,0,0,0,0,0,0,0,355,600,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,118,118,0,0,0,0,0,0,15,15,133,133,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,112,112,0,0,0,0,0,0,20,20,132,132,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,490,490,0,0,0,0,0,0,0,0,490,490,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,316,316,0,0,0,0,0,0,0,0,316,316,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,21,21,0,0,0,0,0,0,0,0,21,21,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,190,190,0,0,0,0,0,0,0,0,190,190,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO Reno 11Pro 5G (12+512G)","Rock Grey",Phone,"Reno 11Pro 5G (12+512G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
