Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",4,0,160,164,0,0,0,0,0,0,0,0,160,164,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",2,0,91,93,0,0,0,0,0,0,0,0,91,93,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,209,209,0,0,0,0,0,0,0,0,209,209,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,402,402,0,0,0,0,0,0,0,0,402,402,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,104,104,0,0,0,0,0,0,0,0,104,104,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,108,108,0,0,0,0,0,0,0,0,108,108,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",2,0,39,41,0,0,0,0,0,0,7,7,46,48,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",3,0,29,32,0,0,0,0,0,0,4,4,33,36,0
"OPPO A79 5G(4+128G)","Glowing Green",Phone,"A79 5G(4+128G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,29,29,0,0,0,0,0,0,0,0,29,29,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,48,48,0,0,0,0,0,0,0,0,48,48,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,31,31,0,0,0,0,0,0,0,0,31,31,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,61,61,0,0,0,0,0,0,0,0,61,61,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,66,66,0,0,0,0,0,0,0,0,66,66,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 11Pro 5G (12+512G)","Rock Grey",Phone,"Reno 11Pro 5G (12+512G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
