Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",90,0,480,570,0,0,0,0,0,0,0,0,480,570,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",10,0,0,10,0,0,0,0,0,0,0,0,0,10,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",100,0,0,100,0,0,0,0,0,0,0,0,0,100,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",100,0,0,100,0,0,0,0,0,0,0,0,0,100,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,40,40,0,0,0,0,0,0,0,0,40,40,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",30,0,10,40,0,0,0,0,0,0,0,0,10,40,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,1000,1000,0,0,0,0,0,0,0,0,1000,1000,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,88,88,0,0,0,0,0,0,5,5,93,93,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",10,0,453,463,0,0,0,0,0,0,0,0,453,463,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",10,0,266,276,0,0,0,0,0,0,0,0,266,276,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",15,0,7,22,0,0,0,0,0,0,0,0,7,22,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",9,0,0,9,0,0,0,0,0,0,0,0,0,9,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,158,158,0,0,0,0,0,0,0,0,158,158,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO Reno 11Pro 5G (12+512G)","Rock Grey",Phone,"Reno 11Pro 5G (12+512G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
