Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,135,135,0,0,0,0,0,0,0,0,135,135,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,82,82,0,0,0,0,0,0,0,0,82,82,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",7,0,58,65,0,0,0,0,0,0,0,0,58,65,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",7,0,351,358,0,0,0,0,0,0,0,0,351,358,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,93,93,0,0,0,0,0,0,0,0,93,93,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,105,105,0,0,0,0,0,0,0,0,105,105,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",1,0,59,60,0,0,0,0,0,0,0,0,59,60,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",1,0,30,31,0,0,0,0,0,0,7,7,37,38,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",1,0,35,36,0,0,0,0,0,0,4,4,39,40,0
"OPPO A79 5G(4+128G)","Glowing Green",Phone,"A79 5G(4+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",5,0,22,27,0,0,0,0,0,0,0,0,22,27,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",5,0,27,32,0,0,0,0,0,0,0,0,27,32,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,46,46,0,0,0,0,0,0,0,0,46,46,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,60,60,0,0,0,0,0,0,0,0,60,60,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,62,62,0,0,0,0,0,0,0,0,62,62,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 11Pro 5G (12+512G)","Rock Grey",Phone,"Reno 11Pro 5G (12+512G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
