Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",2,0,132,134,0,0,0,0,0,0,0,0,132,134,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",2,0,79,81,0,0,0,0,0,0,0,0,79,81,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",6,0,48,54,0,0,0,0,0,0,0,0,48,54,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",3,0,314,317,0,0,0,0,0,0,0,0,314,317,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",3,0,90,93,0,0,0,0,0,0,0,0,90,93,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",3,0,102,105,0,0,0,0,0,0,0,0,102,105,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",1,0,55,56,0,0,0,0,0,0,0,0,55,56,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,30,30,0,0,0,0,0,0,7,7,37,37,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",5,0,29,34,0,0,0,0,0,0,4,4,33,38,0
"OPPO A79 5G(4+128G)","Glowing Green",Phone,"A79 5G(4+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",1,0,21,22,0,0,0,0,0,0,0,0,21,22,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,46,46,0,0,0,0,0,0,0,0,46,46,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",1,0,26,27,0,0,0,0,0,0,0,0,26,27,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,60,60,0,0,0,0,0,0,0,0,60,60,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",1,0,61,62,0,0,0,0,0,0,0,0,61,62,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 11Pro 5G (12+512G)","Rock Grey",Phone,"Reno 11Pro 5G (12+512G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
