Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",2,0,96,98,0,0,0,0,0,0,0,0,96,98,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",1,0,68,69,0,0,0,0,0,0,0,0,68,69,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",2,0,20,22,0,0,0,0,0,0,0,0,20,22,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",1,0,240,241,0,0,0,0,0,0,0,0,240,241,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,77,77,0,0,0,0,0,0,0,0,77,77,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,92,92,0,0,0,0,0,0,0,0,92,92,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",1,0,17,18,0,0,0,0,0,0,0,0,17,18,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,51,51,0,0,0,0,0,0,0,0,51,51,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,18,18,0,0,0,0,0,0,7,7,25,25,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,16,16,0,0,0,0,0,0,4,4,20,20,0
"OPPO A79 5G(4+128G)","Glowing Green",Phone,"A79 5G(4+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,46,46,0,0,0,0,0,0,0,0,46,46,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,58,58,0,0,0,0,0,0,0,0,58,58,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,61,61,0,0,0,0,0,0,0,0,61,61,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 11Pro 5G (12+512G)","Rock Grey",Phone,"Reno 11Pro 5G (12+512G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
