Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,40,40,0,0,0,0,0,0,0,0,40,40,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO A58 (8+128G)","Glowing Black",Phone,"A58 (8+128G)",0,0,21,21,0,0,0,0,0,0,0,0,21,21,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,383,383,0,0,0,0,0,0,0,0,383,383,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,174,174,0,0,0,0,0,0,0,0,174,174,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,86,86,0,0,0,0,0,0,0,0,86,86,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
