Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,125,125,0,0,0,0,0,0,0,0,125,125,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,1000,1000,0,0,0,0,0,0,0,0,1000,1000,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,350,350,0,0,0,0,0,0,0,0,350,350,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,164,164,0,0,0,0,0,0,0,0,164,164,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,14,14,0,0,0,0,0,0,0,0,14,14,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,324,324,0,0,0,0,0,0,0,0,324,324,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,105,105,0,0,0,0,0,0,0,0,105,105,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
