Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",400,90,10,500,0,0,0,0,0,0,0,0,10,500,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",400,90,10,500,0,0,0,0,0,0,0,0,10,500,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",725,165,10,900,0,0,0,0,0,0,0,0,10,900,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",80,15,5,100,0,0,0,0,0,0,0,0,5,100,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",190,80,30,300,0,0,0,0,0,0,0,0,30,300,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",235,80,185,500,0,0,0,0,0,0,0,0,185,500,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",149,40,11,200,0,0,0,0,0,0,0,0,11,200,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",221,60,19,300,0,0,0,0,0,0,0,0,19,300,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",128,70,2,200,0,0,0,0,0,0,0,0,2,200,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",10,0,292,302,0,0,0,0,0,0,0,0,292,302,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",13,0,31,44,0,0,0,0,0,0,0,0,31,44,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",5,0,0,5,0,0,0,0,0,0,0,0,0,5,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
