Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,293,293,0,0,0,0,0,0,0,0,293,293,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,289,289,0,0,0,0,0,0,0,0,289,289,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,57,57,0,0,0,0,0,0,0,0,57,57,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO A58 (8+128G)","Glowing Black",Phone,"A58 (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,132,132,0,0,0,0,0,0,0,0,132,132,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,126,126,0,0,0,0,0,0,0,0,126,126,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,66,66,0,0,0,0,0,0,0,0,66,66,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,80,80,0,0,0,0,0,0,0,0,80,80,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,40,40,0,0,0,0,0,0,0,0,40,40,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,55,55,0,0,0,0,0,0,0,0,55,55,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,56,56,0,0,1,1,0,0,0,0,57,57,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,169,169,0,0,1,1,0,0,0,0,170,170,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,169,169,0,0,2,2,0,0,0,0,171,171,0
