Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,493,493,0,0,0,0,0,0,0,0,493,493,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,640,640,0,0,0,0,0,0,0,0,640,640,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,300,300,0,0,0,0,0,0,0,0,300,300,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,700,700,0,0,0,0,0,0,0,0,700,700,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,115,115,0,0,0,0,0,0,0,0,115,115,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,160,160,0,0,0,0,0,0,0,0,160,160,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,200,200,0,0,0,0,0,0,0,0,200,200,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,560,560,0,0,0,0,0,0,0,0,560,560,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,190,190,0,0,0,0,0,0,0,0,190,190,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,67,67,0,0,0,0,0,0,0,0,67,67,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,64,64,0,0,0,0,0,0,0,0,64,64,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,192,192,0,0,0,0,0,0,0,0,192,192,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,190,190,0,0,0,0,0,0,0,0,190,190,0
