Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,289,289,0,0,0,0,0,0,0,0,289,289,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,288,288,0,0,0,0,0,0,0,0,288,288,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,127,127,0,0,0,0,0,0,0,0,127,127,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,163,163,0,0,0,0,0,0,0,0,163,163,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO A58 (8+128G)","Glowing Black",Phone,"A58 (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,131,131,0,0,0,0,0,0,0,0,131,131,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,122,122,0,0,0,0,0,0,0,0,122,122,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,65,65,0,0,0,0,0,0,0,0,65,65,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,78,78,0,0,0,0,0,0,0,0,78,78,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,38,38,0,0,0,0,0,0,0,0,38,38,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,34,34,0,0,0,0,0,0,0,0,34,34,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,38,38,0,0,1,1,0,0,0,0,39,39,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,18,18,0,0,0,0,0,0,0,0,18,18,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,136,136,0,0,0,0,0,0,0,0,136,136,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,181,181,0,0,0,0,0,0,0,0,181,181,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,152,152,0,0,0,0,0,0,0,0,152,152,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,154,154,0,0,1,1,0,0,0,0,155,155,0
