Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,209,209,0,0,0,0,0,0,0,0,209,209,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,266,266,0,0,0,0,0,0,0,0,266,266,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,135,135,0,0,0,0,0,0,0,0,135,135,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,63,63,0,0,0,0,0,0,0,0,63,63,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,120,120,0,0,0,0,0,0,0,0,120,120,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,84,84,0,0,0,0,0,0,0,0,84,84,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,49,49,0,0,0,0,0,0,0,0,49,49,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,43,43,0,0,0,0,0,0,0,0,43,43,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,71,71,0,0,0,0,0,0,0,0,71,71,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,122,122,0,0,0,0,0,0,0,0,122,122,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,156,156,0,0,0,0,0,0,0,0,156,156,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,138,138,0,0,0,0,0,0,0,0,138,138,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,138,138,0,0,1,1,0,0,0,0,139,139,0
