Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,188,188,0,0,0,0,0,0,0,0,188,188,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,252,252,0,0,0,0,0,0,0,0,252,252,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,399,399,0,0,0,0,0,0,0,0,399,399,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,39,39,0,0,0,0,0,0,0,0,39,39,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,109,109,0,0,0,0,0,0,0,0,109,109,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,60,60,0,0,0,0,0,0,0,0,60,60,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,46,46,0,0,0,0,0,0,0,0,46,46,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,39,39,0,0,0,0,0,0,0,0,39,39,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,68,68,0,0,0,0,0,0,0,0,68,68,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,21,21,0,0,0,0,0,0,0,0,21,21,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,117,117,0,0,0,0,0,0,0,0,117,117,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,150,150,0,0,0,0,0,0,0,0,150,150,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,133,133,0,0,0,0,0,0,0,0,133,133,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,133,133,0,0,1,1,0,0,0,0,134,134,0
