Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",13,0,146,159,0,0,0,0,0,0,0,0,146,159,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",2,0,122,124,0,0,0,0,0,0,0,0,122,124,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",2,0,182,184,0,0,0,0,0,0,0,0,182,184,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",4,0,32,36,0,0,0,0,0,0,0,0,32,36,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",5,0,29,34,0,0,0,0,0,0,0,0,29,34,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",3,0,35,38,0,0,0,0,0,0,0,0,35,38,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",6,0,16,22,0,0,0,0,0,0,0,0,16,22,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,100,100,0,0,0,0,0,0,0,0,100,100,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,114,114,0,0,0,0,0,0,0,0,114,114,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,107,107,0,0,0,0,0,0,0,0,107,107,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,111,111,0,0,1,1,0,0,0,0,112,112,0
