Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,330,330,0,0,0,0,0,0,0,0,330,330,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,1201,1201,0,0,0,0,0,0,0,0,1201,1201,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,78,78,0,0,0,0,0,0,0,0,78,78,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,648,648,0,0,0,0,0,0,0,0,648,648,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,99,99,0,0,0,0,0,0,0,0,99,99,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,113,113,0,0,0,0,0,0,0,0,113,113,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,224,224,0,0,0,0,0,0,0,0,224,224,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,413,413,0,0,0,0,0,0,0,0,413,413,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,854,854,0,0,0,0,0,0,0,0,854,854,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,462,462,0,0,0,0,0,0,0,0,462,462,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1005,1005,0,0,0,0,0,0,0,0,1005,1005,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,182,182,0,0,0,0,0,0,0,0,182,182,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,167,167,0,0,0,0,0,0,0,0,167,167,0
