Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,88,88,0,0,0,0,0,0,0,0,88,88,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,197,197,0,0,0,0,0,0,0,0,197,197,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,289,289,0,0,0,0,0,0,0,0,289,289,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,46,46,0,0,0,0,0,0,0,0,46,46,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,100,100,0,0,0,0,0,0,0,0,100,100,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,57,57,0,0,0,0,0,0,0,0,57,57,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,131,131,0,0,0,0,0,0,0,0,131,131,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,31,31,0,0,0,0,0,0,0,0,31,31,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,34,34,0,0,0,0,0,0,0,0,34,34,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,39,39,0,0,0,0,0,0,0,0,39,39,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,13,13,0,0,0,0,0,0,0,0,13,13,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,100,100,0,0,0,0,0,0,0,0,100,100,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,113,113,0,0,0,0,0,0,0,0,113,113,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,106,106,0,0,0,0,0,0,0,0,106,106,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,110,110,0,0,1,1,0,0,0,0,111,111,0
