Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,68,68,0,0,0,0,0,0,0,0,68,68,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,166,166,0,0,0,0,0,0,0,0,166,166,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,273,273,0,0,0,0,0,0,0,0,273,273,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,32,32,0,0,0,0,0,0,0,0,32,32,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,67,67,0,0,0,0,0,0,0,0,67,67,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,52,52,0,0,0,0,0,0,0,0,52,52,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,123,123,0,0,0,0,0,0,0,0,123,123,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,100,100,0,0,0,0,0,0,0,0,100,100,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,113,113,0,0,0,0,0,0,0,0,113,113,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,104,104,0,0,0,0,0,0,0,0,104,104,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,110,110,0,0,1,1,0,0,0,0,111,111,0
