Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,52,52,0,0,0,0,0,0,0,0,52,52,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,119,119,0,0,0,0,0,0,0,0,119,119,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,265,265,0,0,0,0,0,0,0,0,265,265,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,76,76,0,0,3,3,0,0,0,0,79,79,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,90,90,0,0,0,0,0,0,0,0,90,90,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,188,188,0,0,0,0,0,0,0,0,188,188,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,125,125,0,0,0,0,0,0,0,0,125,125,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,51,51,0,0,0,0,0,0,0,0,51,51,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,102,102,0,0,0,0,0,0,0,0,102,102,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,23,23,0,0,0,0,0,0,0,0,23,23,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,14,14,0,0,0,0,0,0,0,0,14,14,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,99,99,0,0,0,0,0,0,0,0,99,99,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,108,108,0,0,0,0,0,0,0,0,108,108,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,100,100,0,0,0,0,0,0,0,0,100,100,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,107,107,0,0,1,1,0,0,0,0,108,108,0
