Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,271,271,0,0,0,0,0,0,0,0,271,271,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,385,385,0,0,0,0,0,0,0,0,385,385,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,538,538,0,0,50,50,0,0,0,0,588,588,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,391,391,0,0,0,0,0,0,0,0,391,391,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,1210,1210,0,0,0,0,0,0,0,0,1210,1210,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,138,138,0,0,0,0,0,0,0,0,138,138,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,232,232,0,0,0,0,0,0,0,0,232,232,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,484,484,0,0,0,0,0,0,0,0,484,484,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,448,448,0,0,0,0,0,0,0,0,448,448,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1037,1037,0,0,0,0,0,0,0,0,1037,1037,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,197,197,0,0,0,0,0,0,0,0,197,197,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,201,201,0,0,0,0,0,0,0,0,201,201,0
