Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,179,179,0,0,0,0,0,0,0,0,179,179,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,220,220,0,0,0,0,0,0,0,0,220,220,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,251,251,0,0,0,0,0,0,0,0,251,251,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,1010,1010,0,0,0,0,0,0,0,0,1010,1010,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,208,208,0,0,0,0,0,0,0,0,208,208,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,447,447,0,0,0,0,0,0,0,0,447,447,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,448,448,0,0,0,0,0,0,0,0,448,448,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1026,1026,0,0,0,0,0,0,0,0,1026,1026,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,204,204,0,0,0,0,0,0,0,0,204,204,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,222,222,0,0,0,0,0,0,0,0,222,222,0
