Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,701,701,0,0,0,0,0,0,0,0,701,701,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,130,130,0,0,0,0,0,0,0,0,130,130,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,102,102,0,0,0,0,0,0,0,0,102,102,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,200,200,0,0,0,0,0,0,0,0,200,200,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,935,935,0,0,0,0,0,0,0,0,935,935,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,200,200,0,0,0,0,0,0,0,0,200,200,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,300,300,0,0,0,0,0,0,0,0,300,300,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,208,208,0,0,0,0,0,0,0,0,208,208,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,447,447,0,0,0,0,0,0,0,0,447,447,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,100,100,0,0,0,0,0,0,0,0,100,100,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,448,448,0,0,0,0,0,0,0,0,448,448,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1026,1026,0,0,0,0,0,0,0,0,1026,1026,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,194,194,0,0,0,0,0,0,0,0,194,194,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,221,221,0,0,0,0,0,0,0,0,221,221,0
